SEASON,SEASON_TYPE,TEAM_ABB,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2017-18,regular-season,-,82,100,41.0,86.1,47.7,52.3,73.9,33.0,63.6,51.9,26.1,8.0,22.5,35.7,0
2017-18,regular-season,-,82,100,38.2,85.9,44.4,51.3,61.8,26.4,53.1,49.7,38.2,11.8,32.8,36.0,0
2017-18,regular-season,-,82,100,38.6,85.7,45.1,50.3,72.1,29.7,61.8,48.0,27.9,9.0,23.9,37.5,0
2017-18,regular-season,-,81,100,40.3,85.4,47.1,52.7,68.7,30.8,58.7,52.5,31.3,9.5,26.7,35.5,0
2017-18,regular-season,-,81,100,38.1,85.4,44.6,51.2,63.6,26.9,54.4,49.5,36.4,11.2,31.1,36.0,0
2017-18,regular-season,-,82,100,39.0,85.3,45.8,50.7,71.7,30.6,61.2,49.9,28.3,8.5,24.1,35.2,0
2017-18,regular-season,-,81,100,38.8,85.3,45.5,52.0,64.1,27.7,54.6,50.8,35.9,11.1,30.6,36.1,0
2017-18,regular-season,-,82,100,38.6,85.2,45.2,51.3,65.8,28.3,56.1,50.5,34.2,10.3,29.2,35.2,0
2017-18,regular-season,-,79,100,38.3,85.1,45.0,51.7,64.4,26.9,54.8,49.1,35.6,11.4,30.3,37.6,0
2017-18,regular-season,-,82,100,39.7,85.0,46.7,52.5,69.0,29.9,58.7,50.9,31.0,9.9,26.3,37.5,0
2017-18,regular-season,-,82,100,42.7,84.8,50.3,57.0,66.0,31.4,56.0,56.1,34.0,11.2,28.8,39.0,0
2017-18,regular-season,-,82,100,40.4,84.8,47.6,54.7,62.1,28.4,52.7,54.0,37.9,12.0,32.1,37.2,0
2017-18,regular-season,-,82,100,38.7,84.1,46.0,55.1,49.7,23.4,41.8,55.9,50.3,15.3,42.3,36.2,0
2017-18,regular-season,-,81,100,39.6,82.8,47.9,53.1,70.3,30.9,58.2,53.1,29.7,8.7,24.6,35.4,0
2017-18,regular-season,-,82,100,38.2,82.7,46.2,52.7,64.4,27.4,53.2,51.5,35.6,10.8,29.4,36.6,0
2017-18,regular-season,-,82,100,36.6,82.4,44.5,50.0,68.3,27.4,56.3,48.7,31.7,9.2,26.1,35.3,0
2017-18,playoffs,-,4,100,41.3,90.8,45.5,51.4,64.5,30.5,58.5,52.1,35.5,10.8,32.3,33.3,0
2017-18,playoffs,-,9,100,42.9,89.9,47.7,53.2,70.0,33.0,62.9,52.5,30.0,9.9,27.0,36.6,0
2017-18,playoffs,-,10,100,38.7,88.5,43.7,49.3,66.9,28.8,59.2,48.6,33.1,9.9,29.3,33.8,0
2017-18,playoffs,-,6,100,37.2,86.5,43.0,49.0,66.7,26.7,57.7,46.2,33.3,10.5,28.8,36.4,0
2017-18,playoffs,-,21,100,41.2,86.0,48.0,54.5,63.5,30.1,54.6,55.0,36.5,11.2,31.4,35.7,0
2017-18,playoffs,-,17,100,37.2,85.2,43.6,51.5,53.3,23.8,45.5,52.3,46.7,13.4,39.8,33.7,0
2017-18,playoffs,-,6,100,39.7,85.2,46.6,51.3,74.4,31.7,63.3,50.0,25.6,8.0,21.8,36.6,0
2017-18,playoffs,-,5,100,34.6,83.8,41.3,46.3,66.3,26.2,55.6,47.1,33.7,8.4,28.2,29.8,0
2017-18,playoffs,-,19,100,36.4,83.2,43.8,50.1,63.3,25.9,52.6,49.3,36.7,10.5,30.6,34.3,0
2017-18,playoffs,-,11,100,37.7,82.8,45.6,52.0,63.9,27.0,52.9,51.0,36.1,10.7,29.9,35.9,0
2017-18,playoffs,-,5,100,36.4,82.8,44.0,50.5,66.7,25.6,55.2,46.4,33.3,10.8,27.6,39.1,0
2017-18,playoffs,-,5,100,38.0,82.6,46.0,51.5,73.6,29.0,60.8,47.7,26.4,9.0,21.8,41.3,0
2017-18,playoffs,-,10,100,38.9,82.3,47.3,53.6,67.6,28.5,55.6,51.3,32.4,10.4,26.7,39.0,0
2017-18,playoffs,-,22,100,36.8,81.8,45.0,51.2,62.9,26.8,51.5,52.0,37.1,10.1,30.3,33.1,0
2017-18,playoffs,-,7,100,38.6,80.1,48.1,54.2,66.1,28.9,53.0,54.4,33.9,9.7,27.1,35.8,0
2017-18,playoffs,-,7,100,39.1,78.3,50.0,56.1,67.2,29.6,52.6,56.3,32.8,9.6,25.7,37.2,0
2018-19,regular-season,-,81,100,42.6,93.9,45.4,51.5,65.2,31.3,61.2,51.1,34.8,11.4,32.6,34.8,0
2018-19,regular-season,-,82,100,43.2,93.1,46.4,52.5,67.8,31.9,63.1,50.5,32.2,11.3,29.9,37.8,0
2018-19,regular-season,-,82,100,43.7,92.2,47.4,52.9,67.6,33.4,62.3,53.6,32.4,10.3,29.9,34.4,0
