SEASON,SEASON_TYPE,LINEUP,TEAM_ABB,GROUP_NAME,TEAM_ABBREVIATION,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
2017-18,All+Star,K. Dunn - T. Prince - D. Fox - J. Tatum - K. Kuzma,USA,1,16,102.2,144.0,-41.8,47.6,1.67,17.2,13.6,60.0,35.7,0.1,54.7,54.7,144.45,33.5,0,0
2017-18,All+Star,L. James - K. Durant - R. Westbrook - K. Irving - A. Davis,LBN,1,15,87.5,122.5,-35.0,93.3,1.75,24.6,22.2,72.7,50.0,0.2,50.0,51.7,131.36,40.4,0,0
2017-18,All+Star,B. Bogdanovic - D. Sabonis - F. Ntilikina - L. Markkanen - D. Brooks,WLD,1,13,134.2,88.9,45.3,66.7,2.80,23.7,42.1,89.5,65.8,0.1,65.4,64.7,140.03,68.3,0,0
2017-18,All+Star,B. Ingram - J. Brown - D. Smith Jr. - D. Mitchell - J. Collins,USA,1,12,111.8,141.2,-29.4,53.3,1.33,17.8,23.1,80.0,47.8,0.2,60.7,63.8,134.69,41.1,0,0
2017-18,All+Star,J. Harden - S. Curry - D. DeRozan - G. Antetokounmpo - J. Embiid,STP,1,11,100.0,113.8,-13.8,72.7,1.60,18.2,47.1,75.0,60.6,0.2,42.9,46.4,125.35,46.0,0,0
2017-18,All+Star,J. Embiid - D. Saric - B. Simmons - B. Hield - J. Murray,WLD,1,9,134.6,116.0,18.6,64.3,2.25,24.3,25.0,75.0,50.0,0.2,79.5,79.5,140.96,56.2,0,0
2017-18,All+Star,J. Harden - S. Curry - K. Thompson - G. Antetokounmpo - K. Towns,STP,1,8,100.0,140.9,-40.9,28.6,0.50,7.7,36.4,80.0,57.1,0.2,47.2,50.6,121.94,27.6,0,0
2017-18,All+Star,J. Brown - J. Tatum - D. Smith Jr. - D. Mitchell - J. Collins,USA,1,7,95.7,86.4,9.3,60.0,2.00,19.4,22.2,81.8,55.0,0.1,55.3,55.3,152.47,65.8,0,0
2017-18,All+Star,L. James - K. Durant - R. Westbrook - P. George - K. Irving,LBN,1,7,186.7,80.0,106.7,63.6,0.00,29.2,33.3,50.0,42.9,0.0,78.1,78.8,109.09,93.9,0,0
2017-18,All+Star,D. Saric - B. Simmons - D. Sabonis - B. Hield - J. Murray,WLD,1,6,115.8,127.8,-12.0,87.5,2.33,25.9,14.3,66.7,38.5,0.2,63.3,67.4,146.78,43.1,0,0
2017-18,All+Star,K. Lowry - D. DeRozan - D. Lillard - D. Green - J. Embiid,STP,1,6,130.8,115.4,15.4,71.4,0.00,26.3,14.3,40.0,25.0,0.0,57.1,58.9,105.17,50.0,0,0
2017-18,All+Star,P. George - K. Walker - B. Beal - A. Drummond - V. Oladipo,LBN,1,6,112.5,113.3,-0.8,50.0,0.00,18.2,22.2,55.6,38.9,0.0,52.9,52.9,122.64,54.2,0,0
2017-18,All+Star,K. Lowry - A. Horford - D. DeRozan - D. Lillard - D. Green,STP,1,5,161.5,84.6,76.9,87.5,7.00,31.8,50.0,75.0,66.7,0.1,70.8,76.3,115.56,91.4,0,0
2017-18,All+Star,K. Lowry - K. Thompson - D. Lillard - D. Green - K. Towns,STP,1,5,164.3,100.0,64.3,55.6,5.00,20.8,62.5,87.5,75.0,0.1,62.5,64.8,122.85,74.7,0,0
2017-18,All+Star,K. Lowry - A. Horford - D. DeRozan - D. Lillard - G. Antetokounmpo,STP,1,4,61.5,84.6,-23.1,66.7,2.00,11.8,20.0,100,42.9,0.1,26.9,28.8,162.08,20.0,0,0
2017-18,All+Star,A. Horford - J. Harden - S. Curry - K. Thompson - K. Towns,STP,1,3,100.0,150.0,-50.0,75.0,0.75,21.4,0.0,80.0,50.0,0.4,78.6,78.6,170.72,35.5,0,0
2017-18,All+Star,B. Bogdanovic - B. Hield - J. Murray - F. Ntilikina - L. Markkanen,WLD,1,3,100.0,122.2,-22.2,75.0,3.00,25.0,0.0,100,50.0,0.1,56.3,56.3,139.35,39.1,0,0
2017-18,All+Star,D. Saric - B. Bogdanovic - B. Simmons - B. Hield - J. Murray,WLD,1,3,144.4,100.0,44.4,66.7,4.00,26.7,50.0,100,66.7,0.1,65.0,65.0,144.00,60.5,0,0
