SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
2016-17,pre-season,MIN,1,1,0,3.8,100,0.0,100,0.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,100
2016-17,pre-season,OKC,3,1,2,6.3,71.1,28.9,56.5,21.7,26.1,0.0,17.4,17.4,34.8,23.1,76.9,100,0.0,41.2,58.8
2016-17,pre-season,SAC,3,1,2,1.8,66.7,33.3,23.5,0.0,17.6,0.0,58.8,0.0,23.5,50.0,50.0,100,0.0,66.7,33.3
2016-17,pre-season,TOR,3,1,2,3.9,72.4,27.6,48.0,0.0,36.0,0.0,16.0,28.0,48.0,0.0,100,66.7,33.3,22.2,77.8
2016-17,pre-season,-,1,0,1,4.9,50.0,50.0,28.6,0.0,42.9,0.0,28.6,0.0,28.6,100,0.0,100,0.0,100,0.0
2016-17,pre-season,CHI,3,0,3,5.3,63.6,36.4,52.2,17.4,13.0,8.7,34.8,0.0,34.8,50.0,50.0,0.0,100,42.9,57.1
2016-17,pre-season,MIA,3,0,3,4.0,45.5,54.5,53.3,0.0,20.0,33.3,26.7,33.3,53.3,25.0,75.0,0.0,100,20.0,80.0
2016-17,pre-season,NOP,2,0,2,5.9,78.3,21.7,57.1,0.0,0.0,0.0,42.9,35.7,57.1,0.0,100,0.0,0.0,0.0,100
2016-17,regular-season,BOS,49,32,17,3.8,61.5,38.5,41.3,6.8,25.9,8.2,32.9,11.4,34.5,40.8,59.2,76.7,23.3,51.4,48.6
2016-17,regular-season,WAS,55,32,23,3.8,72.9,27.1,49.7,13.8,20.7,9.2,29.6,12.8,35.9,35.4,64.6,83.3,16.7,45.8,54.2
2016-17,regular-season,SAS,43,29,14,3.8,63.8,36.2,39.5,14.3,30.4,12.8,30.1,20.2,25.2,42.5,57.5,80.5,19.5,55.4,44.6
2016-17,regular-season,UTA,45,27,18,3.2,64.6,35.4,44.1,10.6,30.0,9.7,25.9,15.0,33.5,50.7,49.3,88.2,11.8,62.4,37.6
2016-17,regular-season,ATL,44,26,18,4.0,66.4,33.6,46.7,14.1,23.4,10.7,29.9,12.2,32.6,49.0,51.0,96.9,3.1,60.9,39.1
2016-17,regular-season,OKC,42,26,16,3.7,66.0,34.0,48.3,14.4,27.6,15.2,24.1,15.2,33.8,20.6,79.4,54.1,45.9,29.9,70.1
2016-17,regular-season,TOR,49,25,24,3.6,70.1,29.9,58.6,21.8,19.6,7.0,21.8,13.6,36.8,30.6,69.4,74.1,25.9,38.5,61.5
2016-17,regular-season,MEM,46,24,22,4.1,64.2,35.8,45.4,11.6,29.7,7.0,24.9,13.8,33.8,41.5,58.5,80.5,19.5,53.3,46.7
2016-17,regular-season,SAC,49,24,25,4.3,67.1,32.9,47.1,7.9,24.2,8.5,28.6,12.2,39.3,50.0,50.0,91.4,8.6,60.6,39.4
2016-17,regular-season,CHI,42,23,19,3.8,67.2,32.8,47.7,19.7,22.2,7.1,30.1,16.2,27.9,34.5,65.5,77.8,22.2,44.7,55.3
2016-17,regular-season,CLE,36,23,13,3.9,51.0,49.0,35.7,6.7,39.3,3.9,25.1,9.2,29.0,39.1,60.9,76.6,23.4,55.0,45.0
2016-17,regular-season,HOU,41,23,18,3.3,47.1,52.9,34.3,5.9,32.7,10.6,33.0,12.5,28.4,46.2,53.8,60.6,39.4,51.8,48.2
2016-17,regular-season,POR,47,23,24,4.9,68.9,31.1,48.9,11.6,21.8,8.2,29.3,9.7,37.3,32.8,67.2,64.1,35.9,40.0,60.0
2016-17,regular-season,CHA,51,22,29,3.6,55.0,45.0,40.4,6.7,37.3,4.2,22.4,8.4,33.7,46.2,53.8,75.0,25.0,57.1,42.9
2016-17,regular-season,IND,38,22,16,4.3,65.0,35.0,49.9,23.7,22.3,5.9,27.9,14.8,26.1,36.9,63.1,76.0,24.0,45.9,54.1
2016-17,regular-season,MIA,44,21,23,3.7,66.6,33.4,49.7,10.8,27.8,8.7,22.5,14.1,38.9,36.1,63.9,74.2,25.8,46.5,53.5
2016-17,regular-season,MIL,39,21,18,3.8,69.8,30.2,57.6,6.5,17.3,9.4,25.2,14.0,51.1,42.5,57.5,87.5,12.5,50.0,50.0
2016-17,regular-season,PHI,44,21,23,3.9,65.8,34.2,42.0,9.3,26.2,5.2,31.9,12.5,32.7,39.0,61.0,84.4,15.6,52.3,47.7
2016-17,regular-season,LAC,34,20,14,3.4,68.2,31.8,45.5,10.6,23.9,8.0,30.7,11.0,34.8,43.3,56.7,61.9,38.1,48.1,51.9
2016-17,regular-season,DAL,41,19,22,3.6,59.0,41.0,50.0,19.9,26.0,7.1,24.0,19.6,30.1,30.8,69.2,77.8,22.2,42.9,57.1
2016-17,regular-season,NYK,43,19,24,4.1,72.9,27.1,52.3,18.1,28.8,8.0,18.9,10.4,34.1,33.7,66.3,77.8,22.2,45.5,54.5
2016-17,regular-season,ORL,39,18,21,3.9,67.4,32.6,47.5,11.4,24.7,3.5,27.8,9.5,36.1,38.7,61.3,80.8,19.2,49.5,50.5
2016-17,regular-season,NOP,44,17,27,4.2,69.8,30.2,49.2,14.4,20.7,7.2,30.1,15.2,34.8,42.7,57.3,88.0,12.0,52.6,47.4
2016-17,regular-season,PHX,50,17,33,3.6,73.5,26.5,54.1,13.8,16.8,12.0,29.1,15.3,40.3,17.0,83.0,45.5,54.5,21.9,78.1
2016-17,regular-season,DEN,40,16,24,3.2,65.0,35.0,47.9,13.4,20.1,7.7,32.0,7.7,34.5,48.5,51.5,89.5,10.5,57.5,42.5
2016-17,regular-season,GSW,25,16,9,4.0,58.3,41.7,45.7,12.1,28.4,7.3,25.9,16.8,33.6,58.5,41.5,77.3,22.7,64.0,36.0
2016-17,regular-season,DET,37,15,22,3.9,61.7,38.3,51.3,23.7,32.6,4.9,16.1,10.2,27.6,20.5,79.5,90.9,9.1,41.4,58.6
2016-17,regular-season,MIN,45,15,30,3.8,73.2,26.8,54.1,18.6,19.8,8.1,26.1,14.4,35.4,53.3,46.7,86.4,13.6,59.8,40.2
2016-17,regular-season,LAL,43,14,29,3.0,57.4,42.6,47.1,6.5,25.0,14.5,27.9,15.6,40.6,36.9,63.1,52.2,47.8,40.9,59.1
2016-17,regular-season,BKN,41,13,28,3.4,56.9,43.1,42.1,6.0,33.1,9.0,24.7,10.7,36.1,27.0,73.0,87.9,12.1,47.9,52.1
2016-17,playoffs,CLE,7,5,2,3.8,52.3,47.7,30.8,3.8,34.6,0.0,34.6,9.6,26.9,62.5,37.5,50.0,50.0,57.1,42.9
2016-17,playoffs,WAS,7,5,2,3.3,71.4,28.6,51.9,29.6,33.3,14.8,14.8,20.4,22.2,50.0,50.0,66.7,33.3,55.0,45.0
2016-17,playoffs,GSW,4,4,0,3.4,53.8,46.2,44.9,12.2,36.7,14.3,18.4,8.2,32.7,36.4,63.6,50.0,50.0,41.2,58.8
2016-17,playoffs,HOU,5,3,2,4.6,27.3,72.7,30.0,3.3,35.0,3.3,35.0,10.0,26.7,44.4,55.6,71.4,28.6,56.3,43.8
2016-17,playoffs,SAS,5,3,2,6.0,63.6,36.4,48.6,10.8,28.4,6.8,23.0,28.4,37.8,33.3,66.7,85.7,14.3,48.0,52.0
2016-17,playoffs,TOR,4,3,1,2.7,73.3,26.7,58.3,33.3,12.5,4.2,29.2,8.3,25.0,42.9,57.1,100,0.0,50.0,50.0
2016-17,playoffs,UTA,6,3,3,3.4,52.9,47.1,37.9,6.9,36.2,1.7,25.9,8.6,31.0,36.4,63.6,100,0.0,61.1,38.9
2016-17,playoffs,BOS,4,2,2,5.6,58.1,41.9,52.0,20.0,30.0,8.0,18.0,12.0,32.0,53.8,46.2,80.0,20.0,61.1,38.9
2016-17,playoffs,LAC,5,2,3,3.6,62.5,37.5,32.6,0.0,20.9,16.3,46.5,14.0,32.6,14.3,85.7,0.0,100,10.0,90.0
2016-17,playoffs,ATL,5,1,4,1.9,81.3,18.8,76.9,0.0,23.1,15.4,0.0,0.0,76.9,60.0,40.0,0.0,100,50.0,50.0
2016-17,playoffs,CHI,1,1,0,3.6,75.0,25.0,20.0,20.0,30.0,0.0,50.0,40.0,0.0,0.0,100,100,0.0,50.0,50.0
2016-17,playoffs,MEM,3,1,2,4.8,64.3,35.7,43.8,6.3,9.4,15.6,46.9,3.1,37.5,28.6,71.4,0.0,100,25.0,75.0
2016-17,playoffs,OKC,4,1,3,3.2,54.5,45.5,43.8,6.3,18.8,12.5,37.5,25.0,37.5,0.0,100,100,0.0,22.2,77.8
2016-17,playoffs,IND,4,0,4,4.2,52.2,47.8,44.4,0.0,50.0,0.0,5.6,27.8,44.4,75.0,25.0,33.3,66.7,57.1,42.9
2016-17,playoffs,MIL,3,0,3,3.3,52.6,47.4,36.4,0.0,54.5,0.0,9.1,18.2,36.4,50.0,50.0,100,0.0,75.0,25.0
2016-17,playoffs,POR,1,0,1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
