SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
2025-26,IST,DAL,Dallas Mavericks,4,1,3,252.5,55.3,11.8,24.0,49.0,3.0,4.5,66.7,27.8,50.2,22.8,41.2,4.8,8.6,2.8,5.0,2.8,5.0
2025-26,IST,DEN,Denver Nuggets,4,2,2,240.0,29.3,5.8,11.0,52.3,4.0,4.5,88.9,15.8,53.8,13.3,45.3,3.0,10.3,2.3,7.7,2.3,7.7
2025-26,IST,DET,Detroit Pistons,4,2,2,240.0,46.0,9.8,22.8,42.9,3.5,4.5,77.8,23.8,51.6,16.8,36.4,3.5,7.6,2.8,6.0,2.3,4.9
2025-26,IST,GSW,Golden State Warriors,4,1,3,240.0,42.8,7.8,16.3,47.7,4.8,5.5,86.4,20.8,48.5,21.5,50.3,4.3,9.9,2.3,5.3,2.8,6.4
2025-26,IST,HOU,Houston Rockets,4,2,2,240.0,40.3,10.0,19.8,50.6,4.5,5.3,85.7,24.8,61.5,13.0,32.3,2.3,5.6,3.5,8.7,3.0,7.5
2025-26,IST,IND,Indiana Pacers,4,1,3,240.0,52.3,11.0,22.5,48.9,6.3,8.3,75.8,29.3,56.0,20.5,39.2,3.3,6.2,2.8,5.3,4.3,8.1
2025-26,IST,LAC,LA Clippers,4,2,2,252.5,41.8,8.5,17.3,49.3,7.8,9.0,86.1,25.5,61.1,16.0,38.3,3.3,7.8,2.8,6.6,4.5,10.8
2025-26,IST,LAL,Los Angeles Lakers,5,4,1,240.0,36.4,12.0,18.8,63.8,6.6,8.0,82.5,32.2,88.5,10.8,29.7,4.6,12.6,2.2,6.0,4.2,11.5
2025-26,IST,MEM,Memphis Grizzlies,4,3,1,246.3,44.8,11.0,20.5,53.7,6.0,6.5,92.3,28.0,62.6,17.3,38.5,5.3,11.7,2.5,5.6,3.3,7.3
2025-26,IST,MIA,Miami Heat,4,2,2,240.0,63.3,14.8,27.8,53.2,6.0,8.5,70.6,37.3,58.9,27.8,43.9,8.0,12.6,1.8,2.8,4.5,7.1
2025-26,IST,MIL,Milwaukee Bucks,3,2,1,248.3,37.3,10.3,17.3,59.6,2.0,2.7,75.0,24.0,64.3,15.0,40.2,5.3,14.3,2.0,5.4,1.3,3.6
2025-26,IST,MIN,Minnesota Timberwolves,4,2,2,240.0,44.0,11.5,19.3,59.7,6.5,10.5,61.9,30.5,69.3,14.8,33.5,3.0,6.8,2.5,5.7,5.3,11.9
2025-26,IST,NOP,New Orleans Pelicans,4,0,4,246.3,52.5,12.3,24.8,49.5,7.5,9.0,83.3,33.5,63.8,16.8,31.9,3.3,6.2,4.0,7.6,4.5,8.6
