SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS
2015-16,Pre+Season,Rodney Hood,203918,UTA,23,7,3,4,23.2,98.5,97.0,1.5,15.2,1.20,11.8,0.6,9.9,5.4,9.8,47.1,54.0,24.7,98.55,11.0,332
2015-16,Pre+Season,Ryan Anderson,201583,NOP,28,7,3,4,24.2,98.6,108.9,-10.3,3.4,0.27,3.0,8.9,16.9,12.6,11.0,45.5,50.0,23.1,102.19,10.1,362
2015-16,Pre+Season,Ryan Hollins,200797,MEM,31,7,6,1,11.5,107.2,84.6,22.6,6.1,0.43,8.8,8.8,15.5,12.7,20.6,83.3,77.2,16.5,99.97,15.4,167
2015-16,Pre+Season,Ryan Kelly,203527,LAL,25,7,3,4,15.8,109.6,100.8,8.8,5.7,1.33,7.8,2.8,21.5,13.1,5.9,52.9,60.1,17.7,104.30,13.5,240
2015-16,Pre+Season,Shabazz Muhammad,203498,MIN,23,7,2,5,17.6,107.2,107.6,-0.4,14.9,2.50,12.2,5.7,6.8,6.3,4.9,44.4,53.2,25.0,97.36,10.1,250
2015-16,Pre+Season,Shayne Whittington,203963,IND,25,7,5,2,7.9,114.5,113.6,0.9,8.6,0.75,10.7,8.8,15.5,12.5,14.3,50.0,54.9,18.7,95.02,5.8,110
2015-16,Pre+Season,Tim Hardaway Jr.,203501,ATL,24,7,4,3,19.4,87.0,95.7,-8.8,8.2,1.20,9.8,1.4,9.2,5.3,8.2,33.7,39.0,17.7,99.98,3.3,284
2015-16,Pre+Season,Tobias Harris,202699,DET,23,7,5,2,26.0,103.0,99.2,3.8,10.9,1.20,12.9,4.0,20.6,12.7,10.8,60.0,64.2,20.1,97.38,16.3,366
2015-16,Pre+Season,Tony Snell,203503,CHI,24,7,4,3,28.6,100.2,101.2,-1.0,10.1,2.00,13.5,1.3,11.6,6.4,6.7,42.5,44.4,16.1,100.06,6.4,418
2015-16,Pre+Season,Trevor Booker,202344,UTA,28,7,3,4,16.6,98.3,104.3,-6.1,10.3,0.78,12.7,7.0,17.2,12.1,16.4,43.5,47.3,18.4,95.28,8.1,230
2015-16,Pre+Season,Tyler Zeller,203092,BOS,26,7,6,1,15.1,114.2,101.4,12.8,8.8,1.50,9.8,9.0,12.9,11.0,6.6,53.3,58.2,22.1,100.00,11.3,219
2015-16,Pre+Season,Will Barton,203115,DEN,25,7,4,3,25.4,103.8,99.2,4.7,10.7,1.33,13.3,4.2,16.3,10.4,10.0,46.6,52.1,18.8,98.83,13.2,365
2015-16,Pre+Season,Zach LaVine,203897,MIN,21,7,2,5,23.4,94.4,109.3,-14.9,23.6,1.50,22.3,1.2,11.5,6.2,14.9,27.9,34.5,20.1,94.80,5.0,324
2015-16,Pre+Season,Aaron Harrison,1626151,CHA,21,6,5,1,12.8,85.6,93.5,-7.9,11.9,1.25,16.7,0.0,8.3,4.3,13.3,50.0,50.3,14.0,98.37,5.0,160
2015-16,Pre+Season,Adreian Payne,203940,MIN,25,6,2,4,12.0,97.3,112.9,-15.6,2.3,0.20,3.4,5.3,14.9,9.8,17.2,35.0,39.8,16.2,98.37,-1.8,147
2015-16,Pre+Season,Al Horford,201143,ATL,30,6,4,2,23.5,96.6,87.9,8.7,19.7,1.40,17.1,3.6,20.1,12.9,12.2,53.7,58.6,21.6,100.94,17.7,295
2015-16,Pre+Season,Al Jefferson,2744,CHA,31,6,6,0,24.1,104.3,90.7,13.5,5.1,0.57,4.8,2.7,18.8,11.1,8.3,41.5,46.2,24.3,100.60,10.2,304
2015-16,Pre+Season,Alonzo Gee,202087,NOP,29,6,2,4,21.2,92.2,103.9,-11.7,9.9,1.40,15.6,1.3,13.3,6.8,11.1,24.1,35.6,12.3,106.17,2.7,283
2015-16,Pre+Season,Amir Johnson,101161,BOS,29,6,5,1,18.2,96.6,87.1,9.4,7.8,0.56,8.5,5.7,18.8,12.4,15.3,64.0,63.8,20.6,102.03,18.1,232
2015-16,Pre+Season,Anderson Varejao,2760,GSW,33,6,0,6,15.6,77.9,91.4,-13.5,36.1,1.18,22.0,6.0,24.2,14.7,18.6,65.5,68.6,20.6,101.24,22.6,199
2015-16,Pre+Season,Andre Iguodala,2738,GSW,32,6,3,3,15.4,105.6,103.0,2.6,14.1,1.13,20.0,1.0,8.1,4.6,17.8,52.1,53.6,16.1,103.92,7.3,197
2015-16,Pre+Season,Andre Roberson,203460,OKC,24,6,5,1,20.2,102.0,91.1,10.9,5.3,1.67,20.0,3.5,14.3,9.1,12.0,36.7,41.8,7.0,97.66,4.9,247
2015-16,Pre+Season,Andrew Nicholson,203094,ORL,26,6,4,2,11.4,102.2,94.9,7.3,11.1,1.00,8.9,7.2,19.5,13.7,8.9,58.6,59.1,26.5,95.88,16.3,137
2015-16,Pre+Season,Anthony Bennett,203461,TOR,23,6,4,2,14.4,102.4,97.6,4.8,7.1,1.00,9.3,4.9,22.9,13.9,9.3,41.1,48.3,20.4,93.06,10.6,167
2015-16,Pre+Season,Anthony Davis,203076,NOP,23,6,3,3,29.1,105.1,98.6,6.5,12.3,0.91,6.6,8.0,22.9,15.8,7.3,48.1,54.5,34.3,101.69,21.0,371
2015-16,Pre+Season,Anthony Morrow,201627,OKC,30,6,5,1,19.7,111.4,92.9,18.5,0.0,0.00,0.0,0.9,6.1,3.6,9.3,50.0,50.7,19.6,96.81,5.0,237
