SEASON,SEASON_TYPE,TEAM_ABB,MATCHUP,GDATE,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2016-17,regular-season,-,04/12/2017,L,48,11,10,3,28,15,15,7,50,0
2016-17,regular-season,-,04/12/2017,L,48,15,15,13,60,23,28,15,52,0
2016-17,regular-season,-,04/12/2017,L,48,19,13,6,56,13,12,14,56,0
2016-17,regular-season,-,04/12/2017,L,48,18,11,7,46,11,20,6,60,0
2016-17,regular-season,-,04/11/2017,W,48,24,13,20,42,18,6,14,26,0
2016-17,regular-season,-,04/11/2017,W,48,14,9,14,50,23,9,10,34,0
2016-17,regular-season,-,04/11/2017,W,48,19,16,11,54,12,3,12,44,0
2016-17,regular-season,-,04/11/2017,W,48,17,22,7,46,17,14,8,50,0
2016-17,regular-season,-,04/11/2017,W,48,15,10,23,54,6,16,10,50,0
2016-17,regular-season,-,04/11/2017,L,48,18,6,14,26,24,13,20,42,0
2016-17,regular-season,-,04/11/2017,L,48,17,14,8,50,17,22,7,46,0
2016-17,regular-season,-,04/11/2017,L,48,23,9,10,34,14,9,14,50,0
2016-17,regular-season,-,04/11/2017,L,48,12,3,12,44,19,16,11,54,0
2016-17,regular-season,-,04/11/2017,L,48,6,16,10,50,15,10,23,54,0
2016-17,regular-season,-,04/10/2017,W,48,22,16,14,56,2,7,6,26,0
2016-17,regular-season,-,04/10/2017,W,48,13,13,9,28,11,9,11,26,0
2016-17,regular-season,-,04/10/2017,W,53,23,20,8,50,13,6,0,32,0
2016-17,regular-season,-,04/10/2017,W,48,32,18,18,62,17,13,13,36,0
2016-17,regular-season,-,04/10/2017,W,48,11,6,7,32,16,6,13,40,0
2016-17,regular-season,-,04/10/2017,W,48,13,11,11,38,11,14,15,40,0
2016-17,regular-season,-,04/10/2017,W,48,25,18,18,54,12,11,19,42,0
2016-17,regular-season,-,04/10/2017,W,48,5,17,12,50,28,6,11,46,0
2016-17,regular-season,-,04/10/2017,W,48,12,13,8,50,9,6,12,48,0
2016-17,regular-season,-,04/10/2017,L,48,11,9,11,26,13,13,9,28,0
2016-17,regular-season,-,04/10/2017,L,48,16,6,13,40,11,6,7,32,0
2016-17,regular-season,-,04/10/2017,L,48,11,14,15,40,13,11,11,38,0
2016-17,playoffs,-,06/12/2017,W,48,21,15,18,52,25,20,25,62,0
2016-17,playoffs,-,06/12/2017,L,48,25,20,25,62,21,15,18,52,0
2016-17,playoffs,-,06/09/2017,W,48,18,21,8,36,10,15,9,40,0
2016-17,playoffs,-,06/09/2017,L,48,10,15,9,40,18,21,8,36,0
2016-17,playoffs,-,06/07/2017,W,48,20,16,24,38,22,4,13,46,0
2016-17,playoffs,-,06/07/2017,L,48,22,4,13,46,20,16,24,38,0
2016-17,playoffs,-,06/04/2017,W,48,14,9,31,40,23,6,30,60,0
2016-17,playoffs,-,06/04/2017,L,48,23,6,30,60,14,9,31,40,0
2016-17,playoffs,-,06/01/2017,W,48,21,18,27,56,6,13,9,30,0
