SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2016-17,Regular+Season,HOU,Houston Rockets,82,5.8,5.2,0.64,3.7,0.6,1.7,38.0,44.9,23.9,47.7,4.0,0.4,33.4,100
2016-17,Regular+Season,WAS,Washington Wizards,82,6.7,6.1,0.55,3.7,0.5,1.5,33.3,37.3,24.8,53.4,4.9,1.3,29.3,69.0
2016-17,Regular+Season,SAC,Sacramento Kings,82,7.1,6.7,0.52,3.7,0.7,1.8,37.1,41.1,21.2,54.0,2.7,1.0,28.5,34.5
2016-17,Regular+Season,PHX,Phoenix Suns,82,7.6,6.6,0.47,3.6,0.6,1.8,36.8,38.5,20.1,57.2,4.0,0.6,26.7,10.3
2016-17,Regular+Season,NYK,New York Knicks,82,6.5,5.9,0.54,3.5,0.7,1.6,43.1,46.5,21.1,56.1,4.3,1.7,28.4,65.5
2016-17,Regular+Season,PHI,Philadelphia 76ers,82,6.4,5.8,0.54,3.5,0.5,1.5,33.1,35.1,23.3,53.3,3.6,0.4,30.6,62.1
2016-17,Regular+Season,LAL,Los Angeles Lakers,82,6.5,5.8,0.52,3.4,0.7,1.8,40.0,44.5,19.1,54.3,5.2,0.7,27.0,37.9
2016-17,Regular+Season,DEN,Denver Nuggets,82,6.4,5.7,0.52,3.3,0.6,1.8,31.7,34.1,22.1,50.4,2.9,0.2,29.4,44.8
2016-17,Regular+Season,BKN,Brooklyn Nets,82,5.8,5.2,0.57,3.3,0.8,1.9,41.2,45.4,17.6,50.8,3.3,0.4,29.3,82.8
2016-17,Regular+Season,CHI,Chicago Bulls,82,6.1,5.6,0.53,3.2,0.7,1.6,42.2,45.7,20.4,54.9,3.4,0.8,28.7,55.2
2016-17,Regular+Season,NOP,New Orleans Pelicans,82,5.4,5.0,0.58,3.2,0.6,1.8,33.6,38.6,22.5,44.3,2.7,0.4,32.1,86.2
2016-17,Regular+Season,MEM,Memphis Grizzlies,82,6.5,6.2,0.48,3.2,0.5,1.7,27.5,30.6,20.3,53.9,2.1,0.7,25.7,17.2
2016-17,Regular+Season,CHA,Charlotte Hornets,82,5.5,5.2,0.57,3.1,0.4,1.2,31.0,34.0,25.4,52.7,1.1,0.2,31.4,79.3
2016-17,Regular+Season,DAL,Dallas Mavericks,82,5.9,5.8,0.53,3.1,0.5,1.5,31.2,34.8,23.1,51.7,3.1,0.6,29.1,48.3
2016-17,Regular+Season,CLE,Cleveland Cavaliers,82,6.2,5.7,0.51,3.1,0.5,1.7,33.1,34.6,21.7,51.8,3.2,0.4,27.9,27.6
2016-17,Regular+Season,TOR,Toronto Raptors,82,5.5,5.1,0.56,3.0,0.5,1.3,37.7,44.3,22.3,54.2,3.6,0.4,29.2,75.9
2016-17,Regular+Season,MIN,Minnesota Timberwolves,82,5.7,5.3,0.53,3.0,0.5,1.6,33.3,35.6,21.5,51.3,3.9,1.1,28.5,51.7
