SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2015-16,playoffs,HOU,1,1,0,3.8,3.0,8.0,37.5,1.0,4.0,25.0,1.0,1.0,100,2.0,3.0,5.0,2.0,1.0,1.0,0.0,1.0,4.0,1.0,8.0,-1.0
2015-16,playoffs,IND,3,1,2,2.6,1.0,3.0,33.3,0.7,1.3,50.0,2.7,3.3,80.0,0.7,1.0,1.7,0.7,0.3,0.7,0.0,0.3,1.3,2.0,5.3,1.7
2015-16,playoffs,DET,3,0,3,3.6,2.3,5.7,41.2,1.3,4.0,33.3,1.3,1.7,80.0,1.0,1.7,2.7,1.0,1.3,0.0,0.3,0.0,1.7,1.0,7.3,3.7
2015-16,playoffs,LAC,2,0,2,4.2,3.0,7.0,42.9,1.5,3.0,50.0,3.5,5.5,63.6,0.5,3.0,3.5,1.5,1.0,0.5,0.0,0.0,3.0,3.0,11.0,5.0
2015-16,playoffs,MEM,1,0,1,1.9,1.0,3.0,33.3,1.0,2.0,50.0,1.0,1.0,100,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0
2016-17,pre-season,PHX,6,4,2,2.1,1.5,3.3,45.0,0.3,0.7,50.0,1.5,2.2,69.2,0.2,2.0,2.2,0.8,0.3,0.3,0.2,0.2,1.3,1.8,4.8,0.2
2016-17,pre-season,POR,5,4,1,4.7,1.8,8.4,21.4,0.0,2.8,0.0,2.4,3.0,80.0,1.2,3.6,4.8,0.0,0.8,0.4,0.4,0.2,2.6,2.2,6.0,-4.2
2016-17,pre-season,GSW,4,3,1,3.4,2.8,6.5,42.3,0.5,1.3,40.0,2.8,3.5,78.6,1.8,2.3,4.0,1.0,2.0,0.0,0.0,1.0,2.3,3.0,8.8,-2.3
2016-17,pre-season,LAC,4,3,1,3.7,3.3,6.8,48.1,1.0,2.5,40.0,2.5,4.0,62.5,2.0,2.3,4.3,1.8,1.0,0.8,0.5,0.5,3.0,2.3,10.0,1.3
2016-17,pre-season,ATL,3,2,1,3.3,1.7,6.0,27.8,0.0,2.0,0.0,2.3,3.0,77.8,0.7,2.7,3.3,0.7,0.7,0.7,0.7,0.7,2.3,2.3,5.7,-2.7
2016-17,pre-season,BOS,3,2,1,3.5,1.7,6.0,27.8,0.3,1.0,33.3,2.0,2.7,75.0,0.7,2.3,3.0,1.3,1.7,0.3,0.3,1.0,1.3,2.3,5.7,-2.3
2016-17,pre-season,CHA,3,2,1,5.5,3.7,9.7,37.9,0.7,4.3,15.4,1.3,1.3,100,1.3,4.7,6.0,1.7,2.7,0.7,1.3,0.0,3.3,1.0,9.3,-1.7
2016-17,pre-season,DAL,3,2,1,3.1,2.0,6.7,30.0,0.7,2.7,25.0,1.7,2.3,71.4,1.0,2.3,3.3,1.3,0.7,0.7,0.7,0.3,1.3,1.3,6.3,-1.3
2016-17,pre-season,DEN,4,2,2,4.0,3.5,8.5,41.2,1.3,3.0,41.7,1.8,3.5,50.0,2.3,2.8,5.0,1.3,1.0,0.3,1.0,1.0,2.8,2.5,10.0,-1.3
2016-17,pre-season,MEM,2,2,0,9.1,6.5,14.0,46.4,1.0,3.5,28.6,4.5,7.0,64.3,2.0,6.5,8.5,3.0,4.0,0.5,1.0,1.5,4.5,4.0,18.5,-4.0
2016-17,pre-season,MIL,2,2,0,2.9,1.0,2.5,40.0,0.0,0.0,0.0,2.0,4.0,50.0,0.5,2.5,3.0,0.5,2.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0
2016-17,pre-season,NYK,3,2,1,2.2,2.0,3.3,60.0,0.0,0.3,0.0,1.0,1.7,60.0,0.7,2.0,2.7,0.7,1.3,0.7,0.3,0.0,0.7,1.0,5.0,-0.7
2016-17,pre-season,ORL,5,2,3,3.9,2.4,7.2,33.3,0.6,2.8,21.4,2.4,2.8,85.7,0.8,3.2,4.0,0.8,1.4,1.0,0.0,0.6,2.0,2.6,7.8,0.0
2016-17,pre-season,PHI,4,2,2,6.1,4.5,11.3,40.0,0.5,3.5,14.3,4.3,5.8,73.9,1.5,4.3,5.8,2.8,2.0,1.3,0.8,0.5,2.5,4.0,13.8,2.3
2016-17,pre-season,SAS,3,2,1,2.2,0.7,3.0,22.2,0.0,1.0,0.0,1.0,1.3,75.0,0.3,2.3,2.7,0.3,1.7,1.0,0.3,0.0,2.3,1.3,2.3,-2.3
2016-17,pre-season,UTA,5,2,3,1.9,2.0,3.0,66.7,0.8,1.0,80.0,1.0,1.4,71.4,0.4,0.8,1.2,0.8,1.0,0.0,0.0,0.2,2.2,1.6,5.8,1.2
2016-17,pre-season,WAS,4,2,2,4.5,2.8,6.8,40.7,0.3,1.8,14.3,4.0,4.5,88.9,1.0,2.0,3.0,1.5,2.3,0.8,0.5,0.5,3.5,2.8,9.8,-3.8
2016-17,pre-season,BKN,3,1,2,2.3,2.0,4.3,46.2,0.7,2.0,33.3,1.3,1.3,100,0.0,3.7,3.7,2.0,0.7,0.3,0.7,0.3,2.0,0.7,6.0,2.7
2016-17,pre-season,CLE,3,1,2,3.3,2.3,6.0,38.9,0.0,2.0,0.0,3.3,4.0,83.3,0.3,3.0,3.3,1.3,0.7,1.0,0.7,0.7,1.3,2.3,8.0,2.7
2016-17,pre-season,DET,3,1,2,2.3,1.7,4.0,41.7,0.3,0.7,50.0,0.0,0.0,0.0,0.3,2.0,2.3,1.3,1.3,0.0,0.3,0.7,2.0,1.3,3.7,-0.3
2016-17,pre-season,HOU,2,1,1,9.4,6.0,18.0,33.3,2.5,7.0,35.7,6.0,8.5,70.6,3.0,5.0,8.0,4.0,2.0,2.0,2.0,2.0,3.5,4.5,20.5,1.0
2016-17,pre-season,IND,3,1,2,1.2,1.3,2.7,50.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.0,0.7,0.3,0.0,0.3,0.0,0.3,2.7,1.0
2016-17,pre-season,LAL,5,1,4,4.2,2.4,7.4,32.4,0.4,2.0,20.0,1.8,2.4,75.0,0.8,4.6,5.4,1.2,0.6,0.6,0.2,0.0,2.2,2.0,7.0,1.2
2016-17,pre-season,-,1,1,0,9.1,9.0,16.0,56.3,2.0,5.0,40.0,3.0,5.0,60.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,5.0,23.0,-6.0
2016-17,pre-season,MIN,1,1,0,3.8,1.0,8.0,12.5,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0
2016-17,pre-season,OKC,3,1,2,6.3,5.7,11.0,51.5,2.0,4.3,46.2,4.0,4.7,85.7,2.0,4.3,6.3,4.0,2.0,1.0,1.3,1.0,3.3,2.7,17.3,2.0
2016-17,pre-season,SAC,3,1,2,1.8,2.3,4.7,50.0,1.0,2.3,42.9,2.0,2.3,85.7,0.7,1.0,1.7,1.3,0.0,1.0,0.0,0.0,2.0,1.7,7.7,2.0
2016-17,pre-season,TOR,3,1,2,3.9,3.0,6.0,50.0,0.3,2.0,16.7,3.7,5.3,68.8,0.3,2.7,3.0,0.7,1.3,1.3,1.7,1.0,2.0,2.7,10.0,1.7
2016-17,pre-season,-,1,0,1,4.9,5.0,8.0,62.5,0.0,0.0,0.0,3.0,3.0,100,1.0,5.0,6.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,13.0,6.0
2016-17,pre-season,CHI,3,0,3,5.3,2.3,10.3,22.6,1.0,3.7,27.3,3.3,4.7,71.4,2.3,4.0,6.3,1.7,1.0,1.3,0.0,1.3,2.0,3.3,9.0,1.3
2016-17,pre-season,MIA,3,0,3,4.0,3.0,6.0,50.0,0.7,0.7,100,1.0,1.3,75.0,0.3,3.7,4.0,2.3,3.0,1.3,0.0,0.3,1.3,1.3,7.7,2.7
