SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
2015-16,Regular+Season,MIA,,42,27,15,14.2,2.8,0.4,1.0,36.4,0.2,0.2,80.0,1.0,34.5,1.1,38.7,0.3,10.9,0.2,6.7,0.1,4.2,0,0
2015-16,Regular+Season,MIA,,52,29,23,21.3,3.7,0.5,1.5,36.8,0.4,0.5,75.0,1.5,40.8,1.4,38.2,0.3,6.8,0.2,6.3,0.3,7.9,0,0
2015-16,Regular+Season,HOU,,55,31,24,16.0,1.5,0.3,0.6,50.0,0.1,0.3,50.0,0.7,49.4,0.4,28.9,0.2,14.5,0.1,6.0,0.1,8.4,0,0
2015-16,Regular+Season,NOP,,65,27,38,28.2,14.6,3.0,6.0,49.7,1.4,1.6,84.9,7.7,52.8,5.1,35.1,1.8,12.5,0.6,3.9,0.8,5.6,0,0
2015-16,Regular+Season,LAL,,81,17,64,28.2,4.3,1.0,2.5,39.0,0.5,0.8,63.2,2.6,59.1,0.8,18.8,0.2,4.5,0.3,7.4,0.4,9.7,0,0
2015-16,Regular+Season,DAL,,55,28,27,11.8,1.4,0.3,0.5,58.6,0.2,0.3,71.4,0.9,61.8,0.5,32.9,0.1,10.5,0.1,6.6,0.1,10.5,0,0
2015-16,Regular+Season,BKN,,5,4,1,7.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100,0.0,0.0,0,0
2015-16,Regular+Season,CHI,,53,28,25,14.6,1.6,0.1,0.7,17.1,0.2,0.3,81.3,0.5,29.1,0.5,27.9,0.2,15.1,0.1,4.7,0.2,9.3,0,0
2015-16,Regular+Season,MIA,,78,46,32,28.6,2.1,0.3,0.8,35.4,0.2,0.3,54.5,0.8,36.7,0.7,33.1,0.2,10.2,0.2,8.4,0.1,6.6,0,0
2015-16,Regular+Season,DEN,,32,14,18,17.1,0.2,0.1,0.1,66.7,0.0,0.0,0.0,0.1,66.7,0.0,16.7,0.0,16.7,0.0,16.7,0.0,0.0,0,0
2015-16,Regular+Season,HOU,,37,17,20,6.4,1.0,0.2,0.4,43.8,0.2,0.3,50.0,0.5,52.6,0.2,15.8,0.1,10.5,0.1,13.2,0.2,15.8,0,0
2015-16,Regular+Season,MIN,,82,29,53,32.0,1.9,0.6,1.2,52.5,0.3,0.4,75.0,1.6,84.9,0.3,13.2,0.1,5.0,0.1,6.9,0.2,10.1,0,0
2015-16,Regular+Season,SAS,,72,60,12,33.0,7.5,1.7,3.1,53.8,0.9,1.1,89.5,4.4,58.8,2.8,37.1,0.6,7.8,0.3,3.9,0.5,7.1,0,0
2015-16,Regular+Season,ORL,,5,0,5,5.4,1.2,0.2,0.2,100,0.4,0.4,100,0.8,66.7,0.6,50.0,0.0,0.0,0.2,16.7,0.2,16.7,0,0
2015-16,Regular+Season,BOS,,68,39,29,20.2,2.9,0.7,1.5,44.1,0.3,0.4,67.9,1.7,56.5,0.7,24.5,0.3,9.0,0.2,6.5,0.2,7.0,0,0
2015-16,Regular+Season,WAS,,63,31,32,10.7,1.4,0.3,0.8,36.0,0.1,0.2,64.3,0.7,50.5,0.3,22.0,0.0,2.2,0.1,8.8,0.1,7.7,0,0
2015-16,Regular+Season,CHA,,81,47,34,35.6,11.0,2.0,4.5,44.9,1.4,1.7,80.4,5.5,50.1,4.0,36.7,0.9,8.0,0.6,5.5,0.9,7.9,0,0
2015-16,Regular+Season,PHI,,30,3,27,13.3,3.9,0.5,1.1,41.2,0.2,0.3,70.0,1.1,28.0,1.7,43.2,0.5,12.7,0.4,11.0,0.2,4.2,0,0
2015-16,Regular+Season,NOP,,37,13,24,14.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0,0
2015-16,Regular+Season,DEN,,67,26,41,25.3,0.8,0.2,0.6,39.0,0.0,0.1,50.0,0.5,64.3,0.1,16.1,0.0,1.8,0.0,3.6,0.0,5.4,0,0
2015-16,Regular+Season,ATL,,75,44,31,27.8,5.6,0.9,2.3,39.9,0.6,0.7,83.3,2.5,45.8,1.8,32.1,0.5,8.9,0.5,8.2,0.4,6.5,0,0
2015-16,Regular+Season,DET,,76,41,35,36.7,4.6,1.1,2.7,40.6,0.5,0.7,73.2,2.9,62.2,0.8,18.1,0.3,6.6,0.3,7.2,0.4,8.0,0,0
2015-16,Regular+Season,OKC,,72,52,20,35.8,8.2,1.7,3.3,51.7,1.3,1.5,88.0,4.8,58.6,2.6,31.3,1.1,12.8,0.5,6.4,0.8,9.1,0,0
2015-16,Regular+Season,MIN,,38,14,24,14.6,0.1,0.0,0.1,50.0,0.0,0.0,0.0,0.1,40.0,0.1,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,CLE,,77,53,24,31.5,1.7,0.3,0.7,39.3,0.5,0.6,78.3,1.1,63.3,0.4,26.6,0.1,4.7,0.1,4.7,0.3,18.8,0,0
2015-16,Regular+Season,SAS,,55,24,31,19.9,2.7,0.5,1.4,34.7,0.7,0.8,89.1,1.7,63.1,0.6,22.1,0.2,6.7,0.1,4.7,0.4,16.1,0,0
