SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ
2024-25,regular-season,-,64,18,228.6,11.2,5.8,51.7,25.9,43.3,1.0,45.1,0
2024-25,regular-season,-,39,43,230.5,10.1,5.6,55.1,23.6,42.9,1.0,44.7,0
2024-25,regular-season,-,50,31,232.7,11.2,7.0,62.7,24.2,46.1,0.8,47.7,0
2024-25,regular-season,-,44,38,227.1,11.4,6.2,54.8,26.7,42.5,0.8,43.8,0
2024-25,regular-season,-,48,34,233.3,12.5,6.6,53.0,29.1,43.1,1.2,44.9,0
2024-25,regular-season,-,52,30,231.3,14.6,8.5,57.9,33.0,44.4,1.3,46.2,0
2024-25,regular-season,-,50,32,232.5,9.2,5.0,54.9,21.5,42.6,0.6,43.9,0
2024-25,regular-season,-,50,32,229.2,10.3,6.0,58.5,23.0,44.6,0.7,46.0,0
2024-25,regular-season,-,50,32,226.2,9.7,5.3,54.8,22.5,42.9,0.9,44.7,0
2024-25,regular-season,-,48,33,230.6,12.8,6.9,53.8,29.9,42.9,1.3,44.9,0
2024-25,regular-season,-,37,45,232.4,9.7,5.3,54.4,22.5,43.3,1.0,45.3,0
2024-25,regular-season,-,48,34,228.9,8.2,4.8,58.3,18.7,44.1,0.5,45.2,0
2024-25,regular-season,-,49,33,229.4,11.1,6.2,56.1,25.5,43.3,0.8,44.7,0
2024-25,regular-season,-,21,61,232.0,12.1,6.7,55.2,27.6,43.9,0.8,45.2,0
2024-25,regular-season,-,50,31,230.1,10.9,6.2,56.8,24.7,44.0,0.7,45.3,0
2024-25,regular-season,-,68,14,230.4,10.6,5.5,52.0,26.8,39.6,1.0,41.1,0
2024-25,regular-season,-,41,41,227.0,11.1,6.2,55.8,26.0,42.8,0.9,44.4,0
2024-25,regular-season,-,24,58,229.2,10.4,5.9,56.6,24.2,42.9,0.7,44.2,0
2024-25,regular-season,-,36,46,231.2,9.5,4.7,48.9,22.1,43.2,0.6,44.5,0
2024-25,regular-season,-,36,46,233.1,13.4,7.9,59.1,30.3,44.1,1.1,45.8,0
2024-25,regular-season,-,40,42,229.3,11.0,6.2,56.6,25.0,44.0,0.8,45.4,0
2024-25,regular-season,-,34,48,228.0,10.9,5.9,54.0,23.5,46.6,0.7,48.1,0
2024-25,regular-season,-,30,52,228.1,12.6,7.1,56.2,28.8,43.8,1.0,45.4,0
2024-25,regular-season,-,17,65,232.2,12.0,6.9,57.6,27.6,43.4,0.7,44.5,0
2024-25,regular-season,-,18,64,232.6,10.6,6.1,57.7,24.5,43.2,0.6,44.3,0
2024-25,playoffs,-,6,5,234.0,10.8,5.5,50.4,24.0,45.1,0.5,46.1,0
2024-25,playoffs,-,5,4,229.7,12.3,5.4,44.1,30.0,41.1,1.1,42.7,0
2024-25,playoffs,-,7,7,235.2,12.3,7.3,59.3,29.2,42.1,1.2,43.9,0
2024-25,playoffs,-,2,4,231.0,11.0,7.3,66.7,29.5,37.3,0.5,37.9,0
2024-25,playoffs,-,5,7,231.3,12.1,6.4,53.1,26.6,45.5,0.8,46.8,0
2024-25,playoffs,-,3,4,234.6,13.4,7.3,54.3,28.7,46.8,1.1,48.7,0
2024-25,playoffs,-,15,8,231.0,8.1,4.0,48.9,22.3,36.3,0.7,37.5,0
2024-25,playoffs,-,3,4,228.5,10.0,5.7,57.1,22.4,44.6,0.4,45.5,0
2024-25,playoffs,-,1,4,227.4,9.6,5.0,52.1,22.4,42.9,1.0,44.9,0
2024-25,playoffs,-,0,4,239.9,10.3,5.0,48.8,27.5,37.3,0.3,37.6,0
2024-25,playoffs,-,0,4,219.1,10.0,6.0,60.0,21.5,46.5,0.8,48.2,0
2024-25,playoffs,-,1,4,224.8,10.4,6.0,57.7,24.8,41.9,0.6,43.0,0
2024-25,playoffs,-,9,6,233.6,11.7,5.9,50.0,27.7,42.4,0.7,43.6,0
2024-25,playoffs,-,10,8,229.9,11.8,7.4,62.7,28.2,41.7,0.8,42.9,0
2024-25,playoffs,-,16,7,230.9,11.4,6.0,52.5,29.4,38.9,1.2,40.5,0
2024-25,playoffs,-,1,4,223.6,11.4,4.6,40.4,28.0,40.7,0.4,41.3,0
2024-25,play-in,-,0,2,236.2,10.0,5.5,55.0,29.0,34.5,0.5,35.1,0
2024-25,play-in,-,0,1,230.1,7.0,5.0,71.4,22.0,31.8,0.0,31.8,0
2024-25,play-in,-,1,1,221.6,8.5,4.0,47.1,20.5,41.5,0.5,42.5,0
2024-25,play-in,-,1,0,227.9,13.0,9.0,69.2,23.0,56.5,1.0,59.1,0
2024-25,play-in,-,1,1,237.3,16.0,9.5,59.4,32.5,49.2,1.0,50.8,0
2024-25,play-in,-,2,0,251.1,11.0,6.0,54.5,23.0,47.8,1.5,51.2,0
2024-25,play-in,-,1,0,204.9,12.0,7.0,58.3,34.0,35.3,2.0,37.5,0
2024-25,play-in,-,0,1,232.0,15.0,9.0,60.0,33.0,45.5,2.0,48.4,0
2024-25,ist,-,4,2,230.2,14.5,8.7,59.8,28.8,50.3,1.0,52.1,0
