SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
2016-17,pre-season,WAS,7,4,3,49.4,73.6,26.4,63.1,18.6,21.4,11.2,15.5,20.1,44.5,50.0,50.0,90.6,9.4,57.5,42.5
2016-17,pre-season,CHA,7,3,4,48.7,69.6,30.4,57.0,16.8,19.6,11.1,23.4,16.4,40.2,55.2,44.8,76.2,23.8,59.1,40.9
2016-17,pre-season,CHI,7,3,4,48.7,71.7,28.3,57.8,16.7,22.2,12.3,20.0,16.4,41.1,56.9,43.1,92.6,7.4,64.2,35.8
2016-17,pre-season,DET,6,3,3,48.0,73.4,26.6,62.3,18.8,21.2,15.4,16.5,20.4,43.5,52.3,47.7,87.5,12.5,58.8,41.2
2016-17,pre-season,IND,6,3,3,48.0,74.3,25.7,61.3,17.1,23.8,19.1,14.9,20.5,44.2,50.3,49.7,90.2,9.8,58.5,41.5
2016-17,pre-season,LAC,6,3,3,48.0,66.8,33.2,52.9,16.3,25.5,10.0,21.6,17.9,36.6,60.3,39.7,87.2,12.8,66.8,33.2
2016-17,pre-season,MIL,6,3,3,48.0,74.3,25.7,57.5,10.8,21.2,12.8,21.3,16.9,46.8,51.0,49.0,94.7,5.3,59.6,40.4
2016-17,pre-season,OKC,6,3,3,48.8,73.1,26.9,57.7,15.3,25.3,13.1,17.0,21.1,42.4,43.8,56.2,83.3,16.7,52.7,47.3
2016-17,pre-season,SAC,6,3,3,48.0,73.0,27.0,56.5,14.3,25.2,16.3,18.3,20.7,42.2,55.5,44.5,88.9,11.1,63.1,36.9
2016-17,pre-season,UTA,6,3,3,48.0,74.5,25.5,55.9,12.9,18.9,12.3,25.2,20.4,42.9,45.1,54.9,89.2,10.8,53.2,46.8
2016-17,pre-season,CLE,6,2,4,48.0,67.0,33.0,53.0,19.3,28.0,13.4,19.0,18.3,33.7,58.0,42.0,94.7,5.3,67.6,32.4
2016-17,pre-season,DAL,7,2,5,48.0,68.3,31.7,55.6,21.6,27.4,12.9,17.0,16.6,34.0,48.6,51.4,81.7,18.3,56.8,43.2
2016-17,pre-season,LAL,8,2,6,48.6,66.1,33.9,52.7,15.8,29.8,17.9,17.6,20.2,36.8,48.4,51.6,82.1,17.9,57.7,42.3
2016-17,pre-season,ORL,7,2,5,48.7,71.6,28.4,54.1,12.2,26.9,13.2,19.0,15.8,42.0,46.5,53.5,88.7,11.3,57.0,43.0
2016-17,pre-season,PHI,7,2,5,49.4,67.7,32.3,54.5,16.9,21.8,11.9,23.7,14.2,37.6,50.5,49.5,79.6,20.4,56.7,43.3
2016-17,pre-season,BKN,6,1,5,48.0,58.8,41.2,43.6,5.6,35.6,13.0,20.8,23.9,38.0,50.0,50.0,88.9,11.1,63.7,36.3
2016-17,pre-season,-,1,1,0,53.0,54.3,45.7,38.0,8.5,42.3,7.7,19.7,13.4,29.6,51.9,48.1,90.0,10.0,68.1,31.9
2016-17,pre-season,NOP,6,1,5,48.8,72.7,27.3,55.9,16.7,24.2,13.9,19.9,15.6,39.2,59.3,40.7,88.2,11.8,65.8,34.2
2016-17,pre-season,-,1,0,1,48.0,55.7,44.3,36.0,6.7,47.2,3.4,16.9,24.7,29.2,62.5,37.5,100,0.0,80.0,20.0
2016-17,pre-season,-,1,0,1,48.0,59.7,40.3,34.3,13.3,42.9,10.5,22.9,10.5,21.0,77.8,22.2,93.3,6.7,84.8,15.2
2016-17,pre-season,-,1,0,1,48.0,60.0,40.0,39.6,12.5,46.9,4.2,13.5,17.7,27.1,42.1,57.9,73.3,26.7,55.9,44.1
2016-17,pre-season,-,1,0,1,48.0,72.9,27.1,68.1,12.8,12.8,20.2,19.1,9.6,55.3,56.3,43.8,0.0,100,50.0,50.0
2016-17,regular-season,GSW,82,67,15,48.2,64.1,35.9,53.7,13.4,31.0,19.5,15.3,16.7,40.2,65.6,34.4,83.4,16.6,70.5,29.5
2016-17,regular-season,SAS,82,61,21,48.3,71.9,28.1,57.2,19.6,26.2,11.5,16.7,16.4,37.6,52.5,47.5,87.4,12.6,60.6,39.4
2016-17,regular-season,HOU,82,55,27,48.2,53.8,46.2,44.9,4.4,37.5,14.5,17.6,16.2,40.5,54.6,45.4,77.1,22.9,62.6,37.4
2016-17,regular-season,BOS,82,53,29,48.2,60.7,39.3,49.3,10.6,33.4,11.5,17.3,15.1,38.7,57.0,43.0,83.7,16.3,65.3,34.7
2016-17,regular-season,CLE,82,51,31,48.5,60.1,39.9,48.8,13.0,35.4,11.7,15.8,13.3,35.8,44.1,55.9,82.9,17.1,56.7,43.3
2016-17,regular-season,LAC,82,51,31,48.2,67.1,32.9,53.9,17.1,28.3,12.8,17.8,14.0,36.7,49.4,50.6,78.6,21.4,57.0,43.0
2016-17,regular-season,TOR,82,51,31,48.2,71.1,28.9,56.7,15.8,24.8,11.4,18.4,16.2,40.9,37.2,62.8,81.8,18.2,47.2,52.8
