SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PERC,AST_TO_PASS_PERC_ADJ
2019-20,playoffs,-,9,10,241.3,283.5,283.4,22.5,2.4,43.8,58.5,27.1,7.9,9.5,0
2019-20,playoffs,-,5,7,242.1,255.7,255.7,21.3,3.2,43.3,57.8,25.4,8.3,9.9,0
2019-20,playoffs,-,0,4,240.0,272.0,272.0,22.5,2.5,40.8,56.3,26.5,8.3,9.7,0
2019-20,playoffs,-,7,6,241.9,261.5,261.5,21.2,3.3,40.2,57.8,27.7,8.1,10.6,0
2019-20,playoffs,-,16,5,240.0,277.3,277.3,25.6,3.6,47.7,66.0,31.6,9.2,11.4,0
2019-20,playoffs,-,14,7,242.4,292.1,292.1,24.9,3.1,48.8,66.7,30.9,8.5,10.6,0
2019-20,playoffs,-,5,5,242.5,266.3,266.3,24.3,3.3,44.9,63.7,29.6,9.1,11.1,0
2019-20,playoffs,-,3,4,243.6,275.4,275.4,17.9,2.4,40.3,48.3,22.1,6.5,8.0,0
2019-20,playoffs,-,1,4,240.0,278.6,278.6,23.8,2.0,52.2,66.6,28.6,8.5,10.3,0
2019-20,playoffs,-,0,4,240.0,280.8,280.8,17.5,3.0,39.3,47.0,23.3,6.2,8.3,0
2019-20,playoffs,-,1,4,240.0,239.4,239.4,17.8,3.6,37.4,47.4,24.2,7.4,10.1,0
2019-20,playoffs,-,7,4,244.5,289.9,289.9,24.8,2.9,44.2,66.5,30.3,8.6,10.4,0
2019-20,playoffs,-,3,4,243.6,277.4,277.4,21.4,2.3,39.7,58.0,26.4,7.7,9.5,0
2019-20,play-in,-,0,1,240.0,275.0,275.0,30.0,4.0,40.0,76.0,37.0,10.9,13.5,0
2019-20,play-in,-,1,0,240.0,257.0,257.0,20.0,4.0,40.0,51.0,26.0,7.8,10.1,0
2019-20,ist,-,0,1,265.0,367.0,364.0,30.0,8.0,52.0,77.0,38.0,8.2,10.4,0
2019-20,ist,-,1,0,265.0,375.0,375.0,23.0,3.0,54.0,65.0,28.0,6.1,7.5,0
2020-21,regular-season,-,41,31,241.7,274.1,274.1,24.1,3.0,45.5,62.9,29.8,8.8,10.9,0
