SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
2024-25,Regular+Season,DAL,Dallas Mavericks,18.2,27.5,66.0,5.5,12.6,44.0,3.4,7.4,45.6,1.9,4.7,40.8,5.8,15.8,36.7,7.0,18.9,37.0
2024-25,Regular+Season,DEN,Denver Nuggets,22.7,34.3,66.2,5.1,10.7,48.2,2.6,5.9,44.6,2.2,5.0,43.4,5.0,12.5,40.2,7.7,20.6,37.2
2024-25,Regular+Season,DET,Detroit Pistons,19.7,30.9,63.7,5.4,12.1,44.9,3.0,6.8,44.6,1.5,4.0,38.2,4.8,12.6,37.8,8.2,22.7,36.3
2024-25,Regular+Season,GSW,Golden State Warriors,17.0,27.1,62.7,4.5,10.8,41.3,2.1,5.3,40.3,1.5,3.9,37.7,5.4,14.4,37.6,9.8,27.2,36.0
2024-25,Regular+Season,HOU,Houston Rockets,19.1,31.1,61.5,4.8,11.3,42.4,3.2,8.0,40.0,2.1,5.5,38.0,4.8,12.6,38.0,8.4,24.0,34.8
2024-25,Regular+Season,IND,Indiana Pacers,18.7,28.0,66.7,4.7,10.0,47.4,4.0,8.6,47.2,2.3,5.4,43.0,5.1,13.1,38.7,8.5,22.9,36.9
2024-25,Regular+Season,LAC,LA Clippers,17.5,27.2,64.1,6.0,12.9,46.7,3.6,8.1,44.4,1.7,4.0,43.7,4.7,11.7,40.5,7.9,21.9,36.3
2024-25,Regular+Season,LAL,Los Angeles Lakers,18.2,26.8,68.0,3.9,9.2,42.6,3.1,7.1,43.5,2.1,5.0,42.5,4.9,12.7,38.5,8.4,23.3,35.9
2024-25,Regular+Season,MEM,Memphis Grizzlies,18.5,28.4,65.3,7.6,16.6,45.6,3.5,7.4,46.8,0.8,1.9,43.4,6.1,16.1,37.8,8.1,22.0,36.9
2024-25,Regular+Season,MIA,Miami Heat,16.1,25.8,62.5,5.6,12.5,44.5,3.5,7.7,45.5,1.3,3.1,43.0,6.5,16.1,40.2,7.3,20.9,34.9
2024-25,Regular+Season,MIL,Milwaukee Bucks,17.3,25.9,66.9,3.5,8.2,42.2,3.0,6.5,45.8,3.5,7.8,45.0,5.5,13.0,42.4,8.8,23.6,37.4
2024-25,Regular+Season,MIN,Minnesota Timberwolves,18.3,28.2,64.9,4.0,9.8,40.2,2.4,6.0,39.9,1.0,2.5,40.4,7.1,18.3,39.0,8.0,21.8,36.8
2024-25,Regular+Season,NOP,New Orleans Pelicans,18.4,30.1,61.1,4.6,11.5,39.8,3.4,8.0,42.5,1.8,4.5,40.5,5.1,13.8,37.0,7.1,21.0,34.0
2024-25,Regular+Season,NYK,New York Knicks,19.6,30.7,63.7,5.0,10.9,45.8,3.9,8.0,48.2,2.0,4.6,42.8,5.5,14.8,37.1,7.3,19.5,37.5
2024-25,Regular+Season,OKC,Oklahoma City Thunder,18.0,27.3,65.7,4.7,10.8,43.4,5.0,9.9,50.0,2.2,4.8,44.8,5.0,13.4,37.7,9.7,25.9,37.3
2024-25,Regular+Season,ORL,Orlando Magic,17.2,27.0,63.7,4.5,10.6,43.0,2.7,6.7,40.5,2.1,5.3,40.3,5.0,14.1,35.2,6.5,21.2,30.7
2024-25,Regular+Season,PHI,Philadelphia 76ers,18.3,29.6,61.8,3.6,8.5,41.7,2.7,6.2,44.0,2.0,4.7,43.2,4.4,11.8,37.4,8.5,25.6,33.2
2024-25,Regular+Season,PHX,Phoenix Suns,12.7,18.8,67.4,5.0,10.8,46.7,5.8,11.7,49.5,2.9,6.1,48.0,6.4,15.7,40.9,8.2,22.4,36.7
2024-25,Regular+Season,POR,Portland Trail Blazers,20.0,33.0,60.8,3.2,9.1,35.8,2.0,5.0,39.4,1.9,4.2,45.2,5.1,14.4,35.4,8.1,23.4,34.6
2024-25,Regular+Season,SAC,Sacramento Kings,16.3,24.1,67.7,5.3,11.4,46.5,4.5,9.2,48.9,3.5,8.0,43.4,5.2,13.0,40.0,8.0,23.5,34.2
2024-25,Regular+Season,SAS,San Antonio Spurs,19.3,30.2,63.9,3.3,8.1,40.8,2.7,6.1,43.5,2.1,4.7,43.7,5.7,15.3,37.4,8.4,24.3,34.7
2024-25,Regular+Season,TOR,Toronto Raptors,19.8,32.9,60.2,5.0,12.5,40.1,3.5,7.7,44.7,1.3,3.2,41.6,5.3,14.3,37.0,6.7,19.7,33.8
2024-25,Regular+Season,UTA,Utah Jazz,16.3,25.4,63.9,6.2,13.8,44.9,2.7,6.2,43.3,0.9,2.6,34.6,6.6,16.7,39.2,7.6,23.3,32.5
2024-25,Regular+Season,WAS,Washington Wizards,17.5,27.4,63.7,4.5,12.0,37.2,2.3,6.1,38.1,1.7,4.2,41.0,3.6,10.5,34.7,9.2,27.3,33.6
2024-25,Playoffs,BOS,Boston Celtics,15.5,23.8,65.3,2.4,7.5,31.7,2.0,5.7,34.9,2.4,5.6,41.9,3.8,10.5,36.5,10.4,27.7,37.4
2024-25,Playoffs,CLE,Cleveland Cavaliers,16.3,25.2,64.8,6.0,11.9,50.5,2.9,6.9,41.9,0.4,1.6,28.6,4.8,12.6,38.1,9.8,27.2,35.9
2024-25,Playoffs,DEN,Denver Nuggets,16.2,27.1,59.7,4.4,10.4,42.8,2.6,6.4,41.1,2.4,6.4,36.7,5.1,14.4,35.1,7.8,20.7,37.6
2024-25,Playoffs,DET,Detroit Pistons,17.0,28.0,60.7,4.5,10.7,42.2,3.3,7.5,44.4,2.0,4.7,42.9,4.3,11.8,36.6,6.0,19.5,30.8
2024-25,Playoffs,GSW,Golden State Warriors,14.3,23.4,61.2,4.0,10.3,39.0,3.1,7.8,39.8,1.4,4.1,34.7,4.8,15.5,30.6,8.9,22.5,39.6
2024-25,Playoffs,HOU,Houston Rockets,13.7,23.9,57.5,5.6,13.4,41.5,5.1,11.4,45.0,1.6,4.3,36.7,3.3,10.0,32.9,7.1,17.9,40.0
2024-25,Playoffs,IND,Indiana Pacers,14.8,23.2,63.8,4.3,9.6,44.5,4.4,9.2,48.3,3.4,6.7,50.6,6.1,14.2,43.1,7.0,19.3,36.2
2024-25,Playoffs,LAC,LA Clippers,17.6,26.9,65.4,6.9,13.3,51.6,3.3,8.0,41.1,1.0,2.7,36.8,3.9,11.4,33.8,8.6,21.4,40.0
2024-25,Playoffs,LAL,Los Angeles Lakers,13.6,20.8,65.4,2.4,7.2,33.3,2.6,7.2,36.1,1.8,3.6,50.0,7.6,18.4,41.3,6.2,20.2,30.7
2024-25,Playoffs,MEM,Memphis Grizzlies,12.5,19.8,63.3,7.0,17.3,40.6,4.0,9.8,41.0,1.0,3.0,33.3,5.3,15.8,33.3,5.8,20.0,28.8
2024-25,Playoffs,MIA,Miami Heat,9.3,15.3,60.7,8.0,11.5,69.6,4.0,10.8,37.2,1.3,3.3,38.5,5.0,16.5,30.3,8.3,23.0,35.9
2024-25,Playoffs,MIL,Milwaukee Bucks,16.6,25.0,66.4,2.4,7.2,33.3,3.2,7.6,42.1,2.6,8.8,29.5,4.8,11.6,41.4,9.8,25.8,38.0
2024-25,Playoffs,MIN,Minnesota Timberwolves,17.9,29.7,60.4,4.7,10.1,46.1,2.3,5.0,45.3,1.0,2.8,35.7,6.7,17.6,38.3,6.7,19.2,34.7
2024-25,Playoffs,NYK,New York Knicks,16.3,26.2,62.2,5.9,13.3,44.8,3.7,8.7,42.7,2.2,5.3,41.1,4.3,13.0,33.3,6.8,19.3,35.4
2024-25,Playoffs,OKC,Oklahoma City Thunder,17.3,27.7,62.4,3.8,9.0,41.8,4.7,10.2,46.4,2.9,6.5,44.7,5.4,15.0,36.3,6.8,20.9,32.6
