SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2017-18,Pre+Season,PHX,Phoenix Suns,2,1,1,2.3,1.0,1.0,2.5,2.0,0.0,2.0,1.0,1.0
2017-18,Pre+Season,POR,Portland Trail Blazers,2,1,1,2.6,0.0,2.0,1.0,0.0,1.0,1.0,2.5,2.0
2017-18,Pre+Season,SAS,San Antonio Spurs,2,1,1,2.8,1.0,0.0,0.0,1.0,2.0,0.0,1.0,6.0
2017-18,Pre+Season,CLE,Cleveland Cavaliers,1,0,1,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
2017-18,Pre+Season,HOU,Houston Rockets,1,0,1,0.8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
2017-18,Pre+Season,LAC,LA Clippers,1,0,1,4.3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2017-18,Pre+Season,Melbourne United,Melbourne United,1,0,1,4.8,0.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0
2017-18,Pre+Season,NOP,New Orleans Pelicans,1,0,1,5.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0
2017-18,Pre+Season,NYK,New York Knicks,3,0,3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2017-18,Pre+Season,PHI,Philadelphia 76ers,1,0,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2017-18,Pre+Season,SAC,Sacramento Kings,2,0,2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2017-18,Pre+Season,TOR,Toronto Raptors,1,0,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,Regular+Season,CLE,Cleveland Cavaliers,45,30,15,3.4,1.0,1.2,0.6,3.1,0.7,0.8,0.5,2.9
2017-18,Regular+Season,NOP,New Orleans Pelicans,50,30,20,4.5,1.5,1.3,0.4,4.7,1.2,1.4,0.7,3.2
2017-18,Regular+Season,BOS,Boston Celtics,46,29,17,3.9,1.0,0.9,0.5,3.4,1.4,1.2,0.8,3.7
2017-18,Regular+Season,MIA,Miami Heat,53,29,24,4.3,1.5,1.1,0.8,4.0,1.2,1.6,0.4,3.8
2017-18,Regular+Season,IND,Indiana Pacers,44,26,18,3.5,1.7,1.4,0.7,2.6,0.9,1.0,0.6,2.4
2017-18,Regular+Season,MIL,Milwaukee Bucks,47,26,21,3.8,0.9,0.7,0.6,3.1,1.1,0.8,0.5,2.7
2017-18,Regular+Season,PHI,Philadelphia 76ers,45,26,19,3.3,1.0,1.1,0.6,3.0,1.4,1.2,0.8,2.0
2017-18,Regular+Season,HOU,Houston Rockets,35,25,10,3.1,1.4,1.2,0.4,2.5,0.5,0.6,0.2,2.7
2017-18,Regular+Season,POR,Portland Trail Blazers,45,25,20,3.9,1.1,1.0,0.4,3.4,0.9,1.2,0.6,3.4
2017-18,Regular+Season,TOR,Toronto Raptors,44,25,19,3.7,1.2,1.2,0.3,3.1,1.1,0.7,0.6,2.6
2017-18,Regular+Season,OKC,Oklahoma City Thunder,46,24,22,4.1,1.2,1.5,1.0,3.2,0.9,1.1,0.4,3.8
2017-18,Regular+Season,DEN,Denver Nuggets,43,22,21,4.2,1.4,1.3,0.6,3.4,1.3,0.9,0.5,3.3
2017-18,Regular+Season,MIN,Minnesota Timberwolves,42,22,20,4.2,1.0,1.2,0.3,3.2,1.2,1.1,0.6,3.0
2017-18,Regular+Season,SAC,Sacramento Kings,42,22,20,3.6,1.3,1.1,0.5,3.2,0.9,1.0,0.2,2.3
2017-18,Regular+Season,CHI,Chicago Bulls,41,21,20,4.4,1.1,0.7,0.7,3.6,1.4,1.5,0.9,4.0
2017-18,Regular+Season,LAC,LA Clippers,41,21,20,3.2,1.0,0.9,0.6,2.5,0.7,0.8,0.5,2.5
2017-18,Regular+Season,WAS,Washington Wizards,45,21,24,4.1,1.3,1.3,0.8,3.4,1.1,1.2,1.0,3.4
2017-18,Regular+Season,LAL,Los Angeles Lakers,42,20,22,4.4,0.8,1.3,0.7,3.5,1.3,1.3,0.9,4.3
2017-18,Regular+Season,SAS,San Antonio Spurs,37,20,17,3.7,1.0,1.3,0.6,3.0,1.5,0.9,1.0,3.1
2017-18,Regular+Season,BKN,Brooklyn Nets,50,19,31,3.9,0.7,1.6,0.3,3.1,1.5,1.1,0.5,3.6
2017-18,Regular+Season,DET,Detroit Pistons,41,19,22,3.6,0.6,1.3,0.3,3.3,1.0,1.2,0.3,2.8
2017-18,Regular+Season,GSW,Golden State Warriors,29,19,10,3.8,0.8,0.3,1.8,2.8,1.5,1.1,0.7,2.8
2017-18,Regular+Season,ATL,Atlanta Hawks,44,17,27,3.4,1.3,1.1,0.9,3.0,1.0,1.3,0.7,3.1
2017-18,Regular+Season,CHA,Charlotte Hornets,41,16,25,3.7,1.3,0.9,0.4,3.0,1.1,0.5,0.5,3.3
2017-18,Regular+Season,PHX,Phoenix Suns,38,16,22,3.0,0.8,0.7,0.4,1.9,1.2,1.0,0.7,2.9
2017-18,Regular+Season,UTA,Utah Jazz,29,16,13,3.7,1.4,0.9,1.2,3.9,1.6,1.7,0.7,3.2
2017-18,Regular+Season,ORL,Orlando Magic,41,14,27,3.1,0.6,0.7,0.4,2.1,1.1,1.0,0.8,2.9
2017-18,Regular+Season,DAL,Dallas Mavericks,50,12,38,3.4,0.8,0.8,0.5,2.3,1.1,1.0,0.6,3.8
2017-18,Regular+Season,MEM,Memphis Grizzlies,41,12,29,3.6,1.3,1.1,0.7,2.3,0.6,0.8,0.5,2.5
2017-18,Regular+Season,NYK,New York Knicks,35,12,23,4.0,1.1,1.1,0.6,2.9,1.1,1.8,0.5,2.9
2017-18,Playoffs,CLE,Cleveland Cavaliers,10,7,3,4.1,1.4,1.9,0.5,2.6,0.8,0.4,0.9,2.8
2017-18,Playoffs,BOS,Boston Celtics,8,5,3,4.9,1.5,1.5,0.3,4.8,0.6,1.3,1.5,4.8
2017-18,Playoffs,GSW,Golden State Warriors,7,4,3,3.1,1.6,0.7,1.1,2.3,0.9,2.0,0.0,1.4
2017-18,Playoffs,HOU,Houston Rockets,4,4,0,3.2,1.0,0.5,0.8,1.5,0.8,1.3,1.0,1.0
2017-18,Playoffs,NOP,New Orleans Pelicans,4,3,1,2.8,1.0,2.3,0.0,2.0,0.5,2.0,1.8,2.0
