SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT
2017-18,regular-season,-,24,58,241.5,420.8,10.6,2.0,4.3,46.3,1.1,1.4,78.6,5.2,49.1,3.5,33.4,0.9,8.7,0.5,5.2,0.7,6.8,0
2017-18,regular-season,-,46,36,242.4,424.8,14.0,2.7,5.8,46.0,1.1,1.5,72.4,6.6,47.1,4.2,30.1,1.3,9.0,1.0,6.8,0.8,5.7,0
2017-18,regular-season,-,39,43,241.5,419.1,7.8,1.7,3.7,45.1,0.7,0.9,75.3,4.1,52.4,2.2,28.5,0.4,5.3,0.5,6.7,0.5,6.3,0
2017-18,regular-season,-,58,24,240.6,443.4,16.7,2.5,5.3,46.8,0.8,1.1,76.1,5.9,35.0,6.7,39.8,2.4,14.1,1.1,6.7,0.5,3.3,0
2017-18,regular-season,-,65,17,240.9,373.5,5.1,1.1,2.2,49.2,0.5,0.6,77.6,2.8,53.9,1.7,32.3,0.4,8.6,0.3,6.7,0.3,5.7,0
2017-18,regular-season,-,48,34,240.9,416.8,10.2,2.5,5.2,47.9,0.5,0.8,66.7,5.6,55.2,2.8,27.5,0.5,5.0,0.6,5.9,0.4,4.1,0
2017-18,regular-season,-,42,40,240.3,418.3,9.3,1.8,4.1,45.2,1.0,1.4,73.9,4.8,51.6,2.5,26.8,0.6,6.0,0.8,8.2,0.7,7.5,0
2017-18,regular-season,-,35,47,242.7,405.4,13.6,2.6,5.6,45.6,0.9,1.3,67.3,6.2,45.5,4.1,30.1,1.2,9.2,1.0,7.6,0.7,4.9,0
2017-18,regular-season,-,22,60,240.3,440.9,12.7,2.1,5.3,39.5,1.0,1.3,81.0,5.3,41.5,4.0,31.5,0.9,7.1,1.0,7.5,0.7,5.3,0
2017-18,regular-season,-,43,38,243.1,425.6,9.9,1.5,3.5,43.3,0.7,0.9,74.3,3.8,38.3,3.9,39.5,1.0,9.6,0.6,6.2,0.5,4.6,0
2017-18,regular-season,-,44,37,241.9,401.6,7.5,1.6,3.2,50.2,0.4,0.6,64.6,3.6,48.8,2.6,34.4,0.6,7.9,0.4,6.0,0.3,4.0,0
2017-18,regular-season,-,47,35,241.5,406.1,14.9,3.9,7.7,50.7,1.2,1.6,74.2,9.2,61.8,3.9,26.0,0.9,6.2,0.9,6.2,0.8,5.2,0
2017-18,regular-season,-,48,34,243.4,430.6,12.8,2.7,6.0,45.5,1.1,1.5,74.6,6.9,53.7,3.5,27.0,0.8,5.9,1.1,8.7,0.8,6.1,0
2017-18,regular-season,-,28,53,241.9,441.7,16.2,3.6,7.8,46.6,1.3,1.6,81.3,8.9,54.7,4.6,28.6,1.0,6.3,1.1,7.1,0.8,5.0,0
2017-18,regular-season,-,48,32,241.9,377.0,8.6,2.2,4.7,47.2,0.8,1.0,74.1,5.3,61.9,1.9,21.9,0.4,5.1,0.6,7.2,0.5,6.2,0
2017-18,regular-season,-,25,57,240.6,411.2,9.8,1.7,4.0,43.6,0.5,0.7,72.2,4.0,41.3,3.7,37.4,0.9,8.9,0.5,4.6,0.3,3.4,0
2017-18,regular-season,-,52,29,241.2,468.6,17.2,3.1,6.7,46.7,2.4,2.9,82.7,8.9,51.6,4.8,27.8,1.6,9.1,1.5,8.9,1.5,8.8,0
2017-18,regular-season,-,21,61,240.3,415.7,9.1,1.5,3.4,43.3,0.6,0.9,67.1,3.6,39.7,3.2,35.3,0.8,8.6,0.7,7.8,0.5,5.1,0
2017-18,regular-season,-,49,33,240.9,390.5,9.4,2.0,4.6,43.0,0.6,0.8,75.8,4.6,49.0,2.3,24.7,0.8,8.1,0.7,7.8,0.4,4.3,0
2017-18,regular-season,-,27,55,240.9,434.1,15.7,3.2,7.5,42.9,0.9,1.4,66.4,7.5,47.4,4.4,28.1,1.4,8.8,1.0,6.6,0.7,4.6,0
2017-18,regular-season,-,47,35,240.6,432.2,19.4,4.4,9.6,45.6,1.8,2.2,81.5,10.8,55.6,5.6,29.0,1.2,6.4,0.8,4.2,1.1,5.7,0
2017-18,regular-season,-,59,23,241.8,421.4,5.6,1.5,2.8,51.1,0.5,0.6,82.4,3.5,62.4,1.4,25.3,0.3,5.8,0.4,7.6,0.3,5.6,0
2017-18,regular-season,-,48,34,240.9,437.7,3.8,0.5,1.1,39.4,0.3,0.3,75.0,1.1,29.6,1.8,47.8,0.2,6.4,0.2,6.1,0.2,4.5,0
2017-18,regular-season,-,43,39,242.1,412.5,8.2,2.1,4.4,46.7,0.5,0.7,76.4,4.7,57.2,2.1,25.2,0.5,6.7,0.5,5.6,0.4,4.3,0
2017-18,playoffs,-,11,8,242.6,413.2,14.2,3.3,6.6,49.6,1.1,1.5,71.4,7.8,55.2,3.7,26.3,1.2,8.1,0.4,2.6,0.7,5.2,0
2017-18,playoffs,-,12,10,242.3,365.5,12.7,2.5,6.0,41.4,0.5,0.6,71.4,5.5,42.9,3.0,23.6,1.4,11.1,0.8,6.1,0.4,2.9,0
2017-18,playoffs,-,16,5,241.2,417.9,16.3,3.2,6.0,53.5,0.3,0.4,87.5,6.9,42.1,6.6,40.6,1.7,10.5,0.6,3.8,0.2,1.2,0
2017-18,playoffs,-,11,6,240.0,340.8,2.5,0.5,1.1,47.4,0.0,0.0,0.0,1.1,41.9,0.9,37.2,0.3,11.6,0.0,0.0,0.0,0.0,0
2017-18,playoffs,-,3,4,240.0,368.0,9.6,2.1,3.9,55.6,0.6,0.9,66.7,5.0,52.2,3.1,32.8,0.6,6.0,0.6,6.0,0.4,4.5,0
2017-18,playoffs,-,1,4,240.0,387.0,5.0,0.8,1.4,57.1,0.0,0.0,0.0,1.6,32.0,2.0,40.0,0.6,12.0,0.2,4.0,0.0,0.0,0
2017-18,playoffs,-,3,4,243.6,371.0,7.4,1.9,3.3,56.5,0.3,0.6,50.0,4.0,53.8,2.6,34.6,0.3,3.8,0.0,0.0,0.3,3.8,0
2017-18,playoffs,-,1,4,240.0,367.8,21.8,5.0,9.2,54.3,0.6,0.8,75.0,11.0,50.5,6.8,31.2,1.4,6.4,1.4,6.4,0.4,1.8,0
