SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,W_PCT,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS
2016-17,pre-season,BOS,3,2,1,66.7,3.5,8.0,3.0,6.3,47.4,0.3,3.0,11.1,1.7,2.0,83.3,0.3,3.7,4.0,2.3,1.0,0.7,1.0,0.3,2.3,1.3,2.3
2016-17,pre-season,CHA,3,2,1,66.7,5.5,11.0,3.7,11.3,32.4,0.7,2.7,25.0,3.0,4.0,75.0,2.0,4.3,6.3,2.3,1.0,1.7,0.0,1.3,1.0,3.3,1.7
2016-17,pre-season,DAL,3,2,1,66.7,3.1,7.7,2.7,5.7,47.1,0.3,1.7,20.0,2.0,2.3,85.7,1.0,3.3,4.3,2.0,1.0,0.7,0.3,0.7,1.3,1.3,1.3
2016-17,pre-season,NYK,3,2,1,66.7,2.2,5.7,2.3,5.3,43.8,0.3,1.0,33.3,0.7,0.7,100,1.0,1.0,2.0,2.0,1.0,0.7,0.0,0.3,1.0,0.7,0.7
2016-17,pre-season,PHX,6,4,2,66.7,2.1,4.7,1.3,4.0,33.3,0.2,0.8,20.0,1.8,2.0,91.7,0.7,1.8,2.5,0.5,0.5,0.3,0.2,0.2,1.8,1.3,-0.2
2016-17,pre-season,SAS,3,2,1,66.7,2.2,4.7,1.3,4.3,30.8,1.3,2.3,57.1,0.7,0.7,100,0.0,1.7,1.7,1.3,1.3,1.0,0.0,0.3,1.3,2.3,2.3
2016-17,pre-season,DEN,4,2,2,50.0,4.0,11.3,4.0,8.8,45.7,0.8,2.0,37.5,2.5,3.3,76.9,1.5,2.8,4.3,1.8,0.8,0.5,1.0,1.0,2.5,2.8,1.3
2016-17,pre-season,HOU,2,1,1,50.0,9.4,19.5,6.5,15.5,41.9,2.0,5.0,40.0,4.5,5.5,81.8,2.5,7.0,9.5,3.0,4.5,1.0,2.0,2.0,4.5,3.5,-1.0
2016-17,pre-season,PHI,4,2,2,50.0,6.1,11.5,3.5,9.0,38.9,0.8,2.5,30.0,3.8,4.3,88.2,0.5,4.0,4.5,2.5,2.8,1.3,0.5,0.8,4.0,2.5,-2.3
2016-17,pre-season,WAS,4,2,2,50.0,4.5,13.5,4.5,8.8,51.4,0.0,2.0,0.0,4.5,5.3,85.7,1.8,3.3,5.0,2.5,1.8,1.5,0.5,0.5,2.8,3.5,3.8
2016-17,pre-season,ORL,5,2,3,40.0,3.9,7.8,3.0,7.0,42.9,0.2,2.0,10.0,1.6,3.0,53.3,1.4,3.2,4.6,1.2,1.6,1.0,0.6,0.0,2.6,2.0,0.0
2016-17,pre-season,UTA,5,2,3,40.0,1.9,4.6,1.0,2.8,35.7,0.0,0.8,0.0,2.6,3.8,68.4,1.0,0.8,1.8,0.4,0.4,0.6,0.2,0.0,1.6,2.2,-1.2
2016-17,pre-season,BKN,3,1,2,33.3,2.3,3.3,1.0,4.3,23.1,0.0,0.3,0.0,1.3,2.3,57.1,0.3,2.0,2.3,0.7,0.3,0.0,0.3,0.7,0.7,2.0,-2.7
2016-17,pre-season,CLE,3,1,2,33.3,3.3,5.3,2.0,6.0,33.3,0.3,2.3,14.3,1.0,1.7,60.0,0.0,3.0,3.0,1.7,1.0,0.7,0.7,0.7,2.3,1.3,-2.7
2016-17,pre-season,DET,3,1,2,33.3,2.3,4.0,1.3,4.0,33.3,0.0,1.0,0.0,1.3,1.7,80.0,0.3,1.7,2.0,0.3,0.3,0.7,0.7,0.3,1.3,2.0,0.3
2016-17,pre-season,IND,3,1,2,33.3,1.2,1.7,0.7,1.7,40.0,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.3,0.0,0.3,0.0,-1.0
2016-17,pre-season,OKC,3,1,2,33.3,6.3,15.3,5.7,12.7,44.7,1.3,3.7,36.4,2.7,4.0,66.7,1.7,3.3,5.0,2.3,2.0,1.3,1.0,1.3,2.7,3.3,-2.0
2016-17,pre-season,SAC,3,1,2,33.3,1.8,5.7,1.0,2.0,50.0,0.3,0.7,50.0,3.3,4.0,83.3,0.3,1.7,2.0,0.7,1.7,0.0,0.0,0.0,1.7,2.0,-2.0
2016-17,pre-season,TOR,3,1,2,33.3,3.9,8.3,3.0,9.7,31.0,1.0,2.7,37.5,1.3,2.0,66.7,4.0,3.0,7.0,0.7,2.0,0.3,1.0,1.7,2.7,2.0,-1.7
2016-17,pre-season,LAL,5,1,4,20.0,4.2,5.8,1.8,7.2,25.0,0.4,3.2,12.5,1.8,3.2,56.3,1.0,4.0,5.0,0.4,0.8,0.2,0.0,0.2,2.0,2.2,-1.2
2016-17,pre-season,-,1,0,1,0.0,4.9,7.0,2.0,8.0,25.0,1.0,4.0,25.0,2.0,2.0,100,1.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,-6.0
2016-17,pre-season,CHI,3,0,3,0.0,5.3,7.7,2.3,7.3,31.8,0.3,2.7,12.5,2.7,4.0,66.7,1.0,4.3,5.3,1.0,2.7,0.0,1.3,0.0,3.3,2.0,-1.3
2016-17,pre-season,MIA,3,0,3,0.0,4.0,5.0,1.7,7.3,22.7,0.3,4.0,8.3,1.3,2.0,66.7,1.3,2.7,4.0,0.3,2.0,2.0,0.3,0.0,1.3,1.3,-2.7
2016-17,pre-season,NOP,2,0,2,0.0,5.9,7.0,2.0,11.5,17.4,0.0,2.5,0.0,3.0,4.5,66.7,3.0,4.5,7.5,0.0,3.5,0.5,0.5,2.0,2.5,4.0,-7.5
2016-17,regular-season,SAS,43,29,14,67.4,3.8,9.4,2.8,6.6,42.9,1.0,2.4,40.2,2.8,3.7,77.7,1.0,2.6,3.6,1.6,1.0,0.7,0.3,0.2,1.6,2.6,2.3
2016-17,regular-season,BOS,49,32,17,65.3,3.8,10.2,3.0,6.6,45.3,0.9,2.5,34.7,3.3,3.8,87.7,0.9,2.6,3.6,1.5,0.9,0.5,0.2,0.6,2.2,2.5,1.6
2016-17,regular-season,GSW,25,16,9,64.0,4.0,9.3,3.0,7.2,41.7,0.9,3.0,29.3,2.4,2.9,83.3,1.0,2.5,3.5,1.9,1.1,0.8,0.6,0.5,2.0,1.9,1.2
2016-17,regular-season,CLE,36,23,13,63.9,3.9,10.0,3.1,6.8,45.3,1.3,3.3,39.2,2.5,3.3,75.6,1.0,2.6,3.6,1.7,1.0,0.4,0.2,0.4,2.1,2.6,1.6
2016-17,regular-season,OKC,42,26,16,61.9,3.7,9.6,3.2,7.2,44.2,0.9,2.5,35.9,2.3,3.1,74.0,1.2,2.9,4.1,1.0,0.8,0.8,0.5,0.4,2.1,2.1,1.9
2016-17,regular-season,UTA,45,27,18,60.0,3.2,7.6,2.4,5.0,48.9,0.8,1.8,43.0,2.0,2.6,76.5,0.7,2.4,3.0,1.5,0.8,0.3,0.5,0.1,1.6,1.8,0.9
2016-17,regular-season,ATL,44,26,18,59.1,4.0,9.3,2.9,6.4,45.2,0.7,2.2,33.7,2.8,3.7,75.5,0.8,2.9,3.7,1.8,1.1,0.5,0.5,0.4,1.8,2.5,1.0
2016-17,regular-season,LAC,34,20,14,58.8,3.4,7.8,2.4,5.9,40.3,0.6,1.9,32.8,2.4,3.7,63.8,1.1,2.2,3.3,1.1,0.9,0.7,0.3,0.1,1.9,2.7,0.7
2016-17,regular-season,WAS,55,32,23,58.2,3.8,9.5,3.0,6.4,46.9,0.7,1.7,37.5,2.8,3.5,80.7,0.9,2.6,3.6,1.4,0.8,0.7,0.5,0.3,1.9,2.3,1.4
