SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST
2015-16,Regular+Season,MIL,,79,32,47,29.3,2.8,2.0,71.6,6.5,42.7,0.2,44.1,5.1,0,0
2015-16,Regular+Season,MIN,,16,7,9,11.7,0.8,0.4,58.3,2.3,33.3,0.1,34.3,8.1,0,0
2015-16,Regular+Season,MIL,,21,9,12,20.9,0.2,0.1,60.0,1.4,17.2,0.0,17.2,21.2,0,0
2015-16,Regular+Season,GSW,,65,58,7,31.1,1.2,0.6,50.6,3.2,37.4,0.1,39.1,9.0,0,0
2015-16,Regular+Season,MIA,,73,42,31,29.1,3.3,2.5,76.5,7.3,44.9,0.1,45.6,4.2,0,0
2015-16,Regular+Season,BKN,,14,2,12,18.8,1.5,1.0,66.7,4.6,32.8,0.1,33.9,6.2,0,0
2015-16,Regular+Season,PHI,,75,10,65,28.1,0.7,0.3,44.4,2.0,35.3,0.1,37.5,9.7,0,0
2015-16,Regular+Season,GSW,,40,38,2,10.5,0.3,0.2,53.8,0.9,36.1,0.0,37.1,13.6,0,0
2015-16,Regular+Season,IND,,70,40,30,25.9,2.0,1.1,55.8,4.1,48.4,0.1,49.5,7.3,0,0
2015-16,Regular+Season,CLE,,53,38,15,24.5,0.6,0.3,53.1,1.7,36.0,0.1,39.0,11.7,0,0
2015-16,Regular+Season,PHI,,66,9,57,26.4,0.3,0.1,30.0,1.4,21.5,0.1,22.5,12.4,0,0
2015-16,Regular+Season,BOS,,75,44,31,32.4,0.6,0.2,37.0,3.5,17.4,0.2,18.3,12.5,0,0
2015-16,Regular+Season,PHI,,74,15,59,29.9,0.6,0.2,30.2,2.6,22.4,0.1,23.0,13.0,0,0
2015-16,Regular+Season,DAL,,61,34,27,23.2,0.4,0.1,34.6,2.0,21.7,0.0,22.2,13.2,0,0
2015-16,Regular+Season,WAS,,29,13,16,14.6,1.3,0.9,64.1,3.1,42.9,0.1,44.3,6.1,0,0
2015-16,Regular+Season,UTA,,1,1,0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,LAC,,64,42,22,28.6,0.2,0.0,10.0,1.1,14.3,0.0,14.7,19.7,0,0
2015-16,Regular+Season,CLE,,70,49,21,31.5,0.6,0.1,20.9,1.5,40.2,0.1,42.6,16.9,0,0
2015-16,Regular+Season,DEN,,65,16,49,17.0,0.7,0.4,63.0,2.0,35.4,0.1,36.5,5.8,0,0
2015-16,Regular+Season,MEM,,73,35,38,19.2,1.9,1.4,72.7,4.0,47.6,0.2,49.8,5.9,0,0
2015-16,Regular+Season,DAL,,33,15,18,11.1,1.6,1.1,66.0,3.0,53.5,0.1,54.6,5.0,0,0
2015-16,Regular+Season,MIL,,76,32,44,31.7,1.6,0.7,45.5,4.5,36.2,0.1,37.3,7.8,0,0
2015-16,Regular+Season,BOS,,72,42,30,31.6,1.0,0.4,40.0,2.9,33.8,0.2,35.7,11.2,0,0
2015-16,Regular+Season,PHI,,53,6,47,30.0,2.3,1.5,63.9,5.9,39.0,0.1,39.7,6.1,0,0
2015-16,Regular+Season,LAC,,63,42,21,27.9,0.3,0.1,31.6,1.3,22.6,0.1,25.0,9.8,0,0
2015-16,Regular+Season,DEN,,37,11,26,26.7,0.5,0.0,5.3,1.5,33.9,0.0,33.9,18.4,0,0
2015-16,Regular+Season,SAC,,37,14,23,16.8,0.4,0.2,46.2,1.0,34.2,0.0,34.2,10.1,0,0
2015-16,Regular+Season,NOP,,13,5,8,23.4,1.6,0.8,47.6,3.2,50.0,0.1,51.2,8.0,0,0
2015-16,Regular+Season,HOU,,82,41,41,38.1,0.8,0.4,49.2,3.2,23.8,0.1,24.6,10.3,0,0
2015-16,Regular+Season,TOR,,47,28,19,17.3,0.6,0.2,35.7,1.9,31.5,0.1,32.6,8.2,0,0
2015-16,Regular+Season,CLE,,25,16,9,12.6,0.3,0.1,25.0,0.8,42.1,0.0,42.1,19.6,0,0
2015-16,Regular+Season,GSW,,23,21,2,8.6,1.3,0.8,60.0,3.0,44.1,0.0,44.1,6.7,0,0
2015-16,Regular+Season,BOS,,14,7,7,11.6,0.3,0.1,25.0,0.9,30.8,0.0,30.8,15.8,0,0
2015-16,Regular+Season,CLE,,18,12,6,16.7,0.2,0.0,0.0,1.4,12.0,0.2,13.6,15.5,0,0
2015-16,Regular+Season,WAS,,76,37,39,26.2,0.7,0.3,47.2,2.3,30.3,0.1,31.7,10.7,0,0
2015-16,Regular+Season,BOS,,80,46,34,23.8,2.4,1.6,66.5,5.0,48.5,0.1,49.5,5.7,0,0
2015-16,Regular+Season,WAS,,10,3,7,11.4,0.2,0.1,50.0,0.5,40.0,0.0,40.0,27.1,0,0
2015-16,Regular+Season,MEM,,21,6,15,16.6,1.9,1.1,59.0,4.5,41.5,0.1,42.4,6.1,0,0
2015-16,Regular+Season,MEM,,3,1,2,2.0,0.3,0.3,100,1.0,33.3,0.0,33.3,2.9,0,0
2015-16,Regular+Season,BKN,,32,10,22,32.1,0.3,0.1,44.4,1.5,18.8,0.1,20.5,20.2,0,0
2015-16,Regular+Season,ORL,,70,31,39,15.7,0.7,0.4,51.9,2.1,36.1,0.1,37.4,8.2,0,0
2015-16,Regular+Season,HOU,,42,20,22,18.9,0.3,0.0,14.3,1.0,33.3,0.0,34.1,14.3,0,0
2015-16,Regular+Season,TOR,,37,31,6,11.7,0.9,0.4,50.0,2.1,41.6,0.1,42.7,6.8,0,0
2015-16,Regular+Season,LAC,,13,7,6,7.6,0.3,0.3,100,1.4,22.2,0.1,23.5,3.8,0,0
2015-16,Regular+Season,LAC,,77,46,31,28.7,1.0,0.5,56.8,2.8,34.6,0.1,35.9,9.0,0,0
2015-16,Regular+Season,ATL,,73,45,28,28.5,0.5,0.2,48.5,2.4,18.6,0.1,19.6,12.5,0,0
2015-16,Regular+Season,UTA,,39,17,22,15.9,1.4,0.9,60.7,3.7,38.9,0.2,41.2,5.9,0,0
2015-16,Regular+Season,PHI,,74,9,65,27.3,1.3,0.8,56.6,3.5,38.5,0.1,39.4,6.4,0,0
2015-16,Regular+Season,DAL,,17,9,8,12.4,0.6,0.4,63.6,1.6,40.7,0.1,42.3,12.0,0,0
2015-16,Regular+Season,CHA,,63,39,24,19.3,0.7,0.4,52.3,1.7,40.0,0.0,40.7,7.8,0,0
2015-16,Regular+Season,CHA,,71,42,29,26.9,0.6,0.2,31.0,2.3,26.1,0.1,27.3,14.9,0,0
2015-16,Regular+Season,NYK,,61,24,37,18.2,0.4,0.1,27.3,1.7,21.8,0.0,22.4,12.0,0,0
2015-16,Regular+Season,MIL,,50,21,29,29.0,0.4,0.1,19.0,1.3,32.3,0.1,34.4,19.1,0,0
2015-16,Regular+Season,CHI,,67,37,30,36.9,1.2,0.6,46.8,3.7,31.5,0.1,32.2,8.8,0,0
2015-16,Regular+Season,CHI,,29,15,14,21.9,3.0,2.1,71.3,6.7,44.8,0.2,46.0,4.4,0,0
2015-16,Regular+Season,DET,,2,2,0,18.7,0.5,0.0,0.0,1.5,33.3,0.5,50.0,7.8,0,0
2015-16,Regular+Season,CLE,,2,2,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,UTA,,62,30,32,17.1,0.3,0.1,21.1,0.7,42.2,0.0,44.2,16.0,0,0
2015-16,Regular+Season,MIA,,76,28,48,33.5,0.6,0.3,51.0,2.3,28.7,0.1,30.1,10.3,0,0
2015-16,Regular+Season,IND,,24,12,12,12.8,0.3,0.0,0.0,1.0,26.1,0.0,26.1,18.2,0,0
2015-16,Regular+Season,DET,,10,7,3,7.3,0.7,0.5,71.4,1.8,38.9,0.1,41.2,8.0,0,0
2015-16,Regular+Season,DEN,,54,22,32,18.8,1.4,0.9,61.0,3.9,36.5,0.1,37.2,6.5,0,0
2015-16,Regular+Season,MIL,,54,22,32,17.4,1.6,1.0,64.4,3.4,47.5,0.1,48.9,4.9,0,0
2015-16,Regular+Season,PHX,,27,10,17,13.9,0.3,0.1,37.5,0.8,36.4,0.1,40.0,13.5,0,0
2015-16,Regular+Season,WAS,,77,37,40,36.2,0.5,0.1,26.2,3.0,18.4,0.2,19.4,15.9,0,0
2015-16,Regular+Season,MIL,,54,19,35,14.8,1.2,0.9,70.8,2.5,48.1,0.1,50.4,5.0,0,0
2015-16,Regular+Season,PHX,,66,22,44,18.8,1.2,0.7,60.5,2.9,39.2,0.1,40.4,6.5,0,0
2015-16,Regular+Season,BOS,,69,40,29,16.0,1.1,0.7,60.8,2.7,39.2,0.1,40.4,8.3,0,0
2015-16,Regular+Season,TOR,,59,39,20,25.9,3.1,2.6,84.0,7.0,43.8,0.1,44.3,4.0,0,0
2015-16,Regular+Season,SAS,,37,30,7,17.1,0.4,0.2,37.5,1.5,28.6,0.1,30.8,16.0,0,0
2015-16,Regular+Season,MEM,,1,0,1,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,LAL,,77,17,60,32.4,1.2,0.6,49.5,4.1,29.2,0.1,29.8,10.3,0,0
2015-16,Regular+Season,MEM,,10,2,8,25.2,0.4,0.2,50.0,2.0,20.0,0.2,22.2,19.0,0,0
2015-16,Regular+Season,NOP,,11,4,7,27.6,1.1,0.7,66.7,3.3,33.3,0.2,35.3,9.7,0,0
2015-16,Regular+Season,IND,,73,40,33,20.7,2.1,1.4,67.3,4.9,43.5,0.2,45.0,6.3,0,0
2015-16,Regular+Season,CLE,,11,3,8,14.9,0.4,0.2,50.0,1.2,30.8,0.0,30.8,9.0,0,0
2015-16,Regular+Season,BOS,,5,3,2,5.6,1.0,0.8,80.0,2.6,38.5,0.2,41.7,2.8,0,0
2015-16,Regular+Season,CHA,,4,4,0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,NYK,,65,26,39,28.3,0.3,0.1,22.7,1.3,26.8,0.1,28.6,18.5,0,0
2015-16,Regular+Season,OKC,,4,1,3,12.5,0.5,0.5,100,1.8,28.6,0.5,40.0,7.8,0,0
2015-16,Regular+Season,MIA,,36,22,14,15.8,0.6,0.3,45.5,1.3,45.8,0.0,46.8,8.4,0,0
2015-16,Regular+Season,MIA,,44,24,20,23.8,0.5,0.2,33.3,1.8,27.3,0.0,28.0,16.2,0,0
2015-16,Regular+Season,HOU,,50,28,22,16.5,1.0,0.6,56.9,2.3,44.0,0.1,45.9,7.0,0,0
2015-16,Regular+Season,NOP,,59,23,36,28.1,0.5,0.3,70.4,2.3,20.3,0.1,21.4,9.6,0,0
2015-16,Regular+Season,LAL,,81,17,64,28.2,2.1,1.6,73.8,6.1,34.7,0.2,35.9,6.1,0,0
2015-16,Regular+Season,DAL,,42,20,22,14.3,0.4,0.1,27.8,1.2,36.0,0.0,37.5,12.2,0,0
2015-16,Regular+Season,BKN,,1,1,0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,CHI,,41,21,20,17.0,0.3,0.1,25.0,1.0,28.6,0.0,30.0,13.9,0,0
2015-16,Regular+Season,MIA,,77,46,31,28.7,1.1,0.6,53.1,3.4,31.3,0.1,32.7,7.1,0,0
2015-16,Regular+Season,DEN,,31,14,17,17.5,2.1,1.6,75.4,5.1,41.4,0.0,41.7,4.7,0,0
2015-16,Regular+Season,HOU,,20,12,8,9.6,0.8,0.5,56.3,1.4,57.1,0.0,57.1,4.9,0,0
2015-16,Regular+Season,MIN,,82,29,53,32.0,2.8,2.0,72.1,6.3,44.5,0.1,45.3,5.8,0,0
2015-16,Regular+Season,SAS,,71,59,12,33.1,1.3,0.6,43.2,2.7,49.5,0.1,51.9,10.9,0,0
2015-16,Regular+Season,ORL,,1,0,1,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
